,Samples,0.001,0.01,0.1
0,10000,"[2.542764240677453, 6.8999471737108255e-06]","[0.2354411333960582, 6.899954709996292e-05]","[0.010359409869426517, 0.0006892741036771946]"
1,100000,"[-1.1395350856369668, 2.189357293590975e-06]","[-0.12807997656745784, 2.1894249254084966e-05]","[-0.02928887699447047, 0.0002188150652720237]"
2,1000000,"[-1.3147032888836674, 6.929877713091334e-07]","[-0.1452200910786905, 6.929643729918586e-06]","[-0.031492606003057366, 6.9262747394541e-05]"
