,Samples,0.000001,0.00001,0.0001,0.001,0.01,0.1
0,10000,"[0.6741692910594566, 0.0006438421561651958]","[0.6741692935463561, 0.0006438458473756661]","[0.6741692936884647, 0.0006438460583019788]","[0.6741692937044519, 0.0006438460820311889]","[0.674169293703919, 0.0006438460812402153]","[0.6747503890457018, 0.001506343799798217]"
1,100000,"[0.6742427967054709, 0.0007529437913530195]","[0.6742427983041921, 0.0007529461642740362]","[0.6742427980732657, 0.0007529458215187782]","[0.6742550463041397, 0.0007711254048428625]","[0.6743116085893064, 0.0008550786538278471]","[0.6750022303433667, 0.0018801422611801413]"
2,1000000,"[0.6728728845217802, -0.0012803647693953651]","[0.6728728932259287, -0.001280351850158719]","[0.6728748086182179, -0.0012775089062202467]","[0.6728824946549139, -0.001266100814228488]","[0.6729603560648556, -0.0011505340842795087]","[0.6737690559585907, 4.978841564731703e-05]"
3,10000000,"[0.6737415834123794, 9.011960001497874e-06]","[0.6737416537561103, 9.116368526230542e-06]","[0.6737425479208525, 1.0443543250843757e-05]","[0.6737500623597015, 2.1596939083569636e-05]","[0.6738274502122721, 0.00013646078583454867]","[0.6746260468016096, 0.00132178733524137]"
