,N_samples,value
0,10,7.037511952268169
1,10,3.9147902820374463
2,10,6.400072641341975
3,10,6.395716935927716
4,10,5.701537878274488
5,10,2.933807161924171
6,10,5.8552105592498584
7,10,1.536917714369205
8,10,5.34364422684318
9,10,2.6364718262238998
10,10,7.756279780484769
11,10,7.999902760993496
12,10,6.5719584984417
13,10,5.103189353299414
14,10,6.92143169379729
15,10,2.0483683180009646
16,10,8.110409348405481
17,10,4.606328623998644
18,10,5.123873056072663
19,10,3.04546035265457
20,100,3.8109431315525057
21,100,4.288859610437334
22,100,5.497482583979586
23,100,5.827515811648643
24,100,3.049979638333696
25,100,4.281927606622195
26,100,5.04649179361867
27,100,3.1604621588850894
28,100,4.468470017388181
29,100,5.745801113290564
30,100,4.904032790054152
31,100,4.820367735346501
32,100,3.0299511103243777
33,100,5.007075547411435
34,100,5.490658190240506
35,100,4.547243502517494
36,100,5.952966458125385
37,100,4.482432327062614
38,100,4.780280714566749
39,100,5.066283609479674
40,1000,4.654184599167902
41,1000,4.718547447389167
42,1000,4.2487085725055005
43,1000,4.965843825835722
44,1000,5.097661831156295
45,1000,4.801519814478466
46,1000,4.850864239287668
47,1000,4.364187774925955
48,1000,4.706442784446441
49,1000,4.793341357986039
50,1000,4.938619722214709
51,1000,5.018613540088845
52,1000,4.8374887582727055
53,1000,4.997290170912052
54,1000,4.678817619941079
55,1000,5.100846055947563
56,1000,4.915766179185896
57,1000,4.632613531260096
58,1000,4.623055855419157
59,1000,4.882235631603583
60,10000,4.872784038667553
61,10000,4.712392471274872
62,10000,4.894328870180761
63,10000,4.754543565209678
64,10000,4.7796590590198
65,10000,4.823771333404079
66,10000,4.838230380693612
67,10000,4.719989693134761
68,10000,4.8168199944354795
69,10000,4.812437484091207
70,10000,4.812082076383002
71,10000,4.8573331409221785
72,10000,4.757991094237187
73,10000,4.655191024011872
74,10000,4.689765812424099
75,10000,4.725760039292523
76,10000,4.7572533188931025
77,10000,4.9008626182864985
78,10000,4.762212826684727
79,10000,4.774390459554798
80,100000,4.752867688074975
81,100000,4.766650102116719
82,100000,4.780659726303998
83,100000,4.802827689214029
84,100000,4.734833891960377
85,100000,4.7847027766159735
86,100000,4.781665145653617
87,100000,4.792628696878589
88,100000,4.764561684250295
89,100000,4.777263519114519
90,100000,4.760223550892562
91,100000,4.78910716429816
92,100000,4.79090770455107
93,100000,4.763784906645889
94,100000,4.828192037155423
95,100000,4.74489764237997
96,100000,4.794868866002042
97,100000,4.7489158025599165
98,100000,4.774700226456586
99,100000,4.826444039600013
100,1000000,4.785604131567907
101,1000000,4.7853305409635745
102,1000000,4.779996329937362
103,1000000,4.772700922346026
104,1000000,4.774415222518417
105,1000000,4.783817771479776
106,1000000,4.790528379292356
107,1000000,4.766278234072071
108,1000000,4.7852819807880005
109,1000000,4.794092323998745
110,1000000,4.778816698467391
111,1000000,4.787448907152757
112,1000000,4.770956912935623
113,1000000,4.7879617429212065
114,1000000,4.772959280402376
115,1000000,4.769100207940184
116,1000000,4.780628000366045
117,1000000,4.785888398849771
118,1000000,4.778158230278639
119,1000000,4.775170738888786
