,Samples,0.001,0.01,0.1
0,10000,"[2.542764240677453, -140.6634404043513]","[0.2354411333960582, -13.93180003743981]","[0.010359409869426517, -1.5689992016473493]"
1,100000,"[-1.1395350856369668, 61.58991218121116]","[-0.12807997656745784, 6.034899220367377]","[-0.02928887699447047, 0.6087159246575581]"
2,1000000,"[-1.3147032888836674, 71.21117140906821]","[-0.1452200910786905, 6.976334263092974]","[-0.031492606003057366, 0.7297575730079833]"
