,Samples,0.001,0.01,0.1
0,10000,"[0.0, 0.0]","[0.0, 0.0]","[-0.01318470347017986, 3.739037309254883e-05]"
1,100000,"[-0.028252936007500118, 1.7320248266119043e-08]","[-0.013184703470175974, 3.7413954615891633e-07]","[-0.01600999707093209, 1.3027317452184849e-05]"
2,1000000,"[-0.016009997070964843, 4.123070579070891e-09]","[-0.018741114218329136, 1.4105332289598858e-07]","[-0.018373826050228637, 4.412701665646566e-06]"
