,N_samples,value
0,100,12.443681754783244
1,100,13.095234538692942
2,100,11.952363111675021
3,100,12.986887687713613
4,100,11.395673532642887
5,100,9.898904769495266
6,100,14.640502915911478
7,100,11.219054262996105
8,100,10.687032643024434
9,100,11.94877740448937
10,1000,12.116860858853734
11,1000,11.369680939923171
12,1000,12.859047922735028
13,1000,11.231682144047793
14,1000,11.356774168543858
15,1000,12.122912573001354
16,1000,11.742956786882472
17,1000,11.57487559843112
18,1000,11.540954040336459
19,1000,12.277129349211153
20,10000,11.671149098755103
21,10000,11.866424094424042
22,10000,11.679415636404755
23,10000,11.84861898098349
24,10000,11.977031908676656
25,10000,12.08832978141756
26,10000,11.83797373405598
27,10000,11.935770479817057
28,10000,12.139282863244524
29,10000,11.766163517787847
30,100000,11.933769727328897
31,100000,12.015103375825825
32,100000,11.894585790976706
33,100000,11.8891733668215
34,100000,12.044046764155198
35,100000,11.954721334262857
36,100000,11.879420002901965
37,100000,11.90579365434141
38,100000,11.886563826862943
39,100000,11.89900299633947
