,Arithmetic,Geometric,Simulation
0,85.45791564605176,56.03347463175697,1000
1,78.3196214749154,43.618538885826354,1000
2,94.9489438391029,70.54532044295952,1000
3,86.97096328515033,58.49860389275981,1000
4,83.8471033131256,53.538048945507526,1000
5,94.23528774759146,69.75728343012597,1000
6,93.88638054316155,69.4034332313444,1000
7,83.36902155273717,52.6274021095495,1000
8,83.86223584299665,53.51203951745266,1000
9,82.04933199153425,50.26301364569003,1000
10,79.51154119841797,45.96274995730225,1000
11,85.6568396498171,56.434434802371044,1000
12,92.14556796184915,66.41636739185968,1000
13,90.64837123190088,64.22080840336831,1000
14,90.0599639807928,63.51088770950258,1000
15,84.07333765339902,53.910134384374366,1000
16,84.51253939542842,54.23410354518546,1000
17,91.27482666763615,65.45054411163785,1000
18,91.75597361529555,66.02288733460338,1000
19,90.03477071284381,63.44706258085885,1000
20,97.63763497241351,74.18297101379457,1000
21,82.59367702051014,51.432616465960336,1000
22,85.54149934913947,56.31469515372389,1000
23,92.8792413886131,67.81239420509154,1000
24,92.9533694874531,67.55474753493763,1000
25,84.27852149107001,54.26106343186229,1000
26,87.84636318737405,59.82419531399595,1000
27,87.49704633466196,59.461186082248815,1000
28,84.76649411069118,54.878721431624285,1000
29,90.31028604732202,63.796985474006654,1000
30,79.24199382261233,45.306827627988504,1000
31,94.67029861970083,70.41894447781567,1000
32,85.87701099176553,56.79697588981294,1000
33,92.02548226465949,66.60311509270122,1000
34,83.00143720296636,52.080457027593454,1000
35,90.65392713516566,64.34815664842989,1000
36,83.2422884123992,52.450250076874426,1000
37,87.58688394925247,59.48398259987989,1000
38,99.61878464769934,77.5770107942624,1000
39,85.5485201560143,56.37650543703393,1000
40,78.72138722481147,44.43271819935923,1000
41,89.21969753640643,61.42144909125768,1000
42,84.02444140879996,53.71201784201813,1000
43,91.09243888623229,65.09948581876102,1000
44,90.35715538725583,63.9627429616973,1000
45,83.97679871655662,53.322889322384924,1000
46,98.47752244267873,75.6808541625153,1000
47,85.76324308636212,56.68048414650127,1000
48,83.63526105358784,53.05935376074024,1000
49,81.17464553394137,49.06459940433383,1000
50,88.56554189777282,61.077509588893285,1000
51,79.54941357239193,46.09638888323772,1000
52,87.0684998496158,58.51110738968183,1000
53,85.47288169001804,56.209147559214,1000
54,83.08525880700508,52.29420743876127,1000
55,87.26567403969757,59.0736325257124,1000
56,79.98350163439741,46.80905841317361,1000
57,89.97419884509073,63.367638018460966,1000
58,92.18348275883406,66.76201132066186,1000
59,85.53908535947723,56.30789704920456,1000
60,82.20332026977377,50.60664181267004,1000
61,93.53784693620372,68.47201517231184,1000
62,88.92633094118212,61.54641949959142,1000
63,86.22272283650129,57.408658113251704,1000
64,87.70006584291893,59.794132001141,1000
65,92.54892509475836,67.1797795722826,1000
66,79.00174678066223,44.83868513406647,1000
67,88.3696165096563,60.904653122788986,1000
68,94.05670524512338,69.57337258291452,1000
69,86.13424109071705,57.26925935051623,1000
70,81.85687515046574,50.16607229274935,1000
71,97.96384476787746,75.2027636284035,1000
72,78.44960557959408,44.131237749741054,1000
73,94.20922934133928,69.77226947644036,1000
74,94.71595595663561,70.58578483623157,1000
75,87.4082195018405,59.39731063856933,1000
76,86.76369738586004,58.313823192302614,1000
77,88.54998079136557,61.001202379425706,1000
78,79.07904920915995,45.194163998440786,1000
79,93.33943709950633,68.44507585961826,1000
80,84.75041435366259,54.89446228423039,1000
81,88.33700586965841,60.87984267831457,1000
82,85.91052892912094,56.82126685348933,1000
83,100.1892745393161,78.34202890258297,1000
84,87.863076474794,59.943083534052185,1000
85,89.50665526740619,62.58062905031499,1000
86,91.90549131852698,66.16768479822903,1000
87,90.04302773923514,63.514480577091064,1000
88,87.92802945007985,60.19382976198937,1000
89,81.9706802909251,49.46021797971899,1000
90,102.47140317407201,80.25871372496272,1000
91,76.30011983461901,39.73623080748665,1000
92,74.6966301904944,36.01423054044594,1000
93,84.11662828466582,53.89883127221627,1000
94,101.12412271575143,79.09338046215657,1000
95,83.09747388884372,52.234113373822346,1000
96,87.41458108373746,59.171412755567545,1000
97,96.72986999286634,73.16493604417886,1000
98,89.68828026713085,62.911903184897845,1000
99,83.54870133448443,52.956735001648255,1000
100,85.88362115612844,56.73601363142647,1000
101,83.34899757616093,52.633081398275124,1000
102,95.10183460676446,71.07554206176509,1000
103,94.8901053690776,70.59528461461495,1000
104,78.68725965259277,44.045411827976075,1000
105,94.05820852914196,69.43531348944866,1000
106,95.12789430743818,70.65286251473937,1000
107,87.75268370085931,59.58586464518939,1000
108,87.7860328322865,59.84143885615661,1000
109,85.31460067832549,55.863103772748644,1000
110,90.32711137539246,63.9732938419805,1000
111,88.50012560881683,61.07626184155794,1000
112,84.61551726463975,54.820181429413175,1000
113,86.43182200806358,57.70259360397329,1000
114,91.82604157737426,66.14983520637269,1000
115,88.05384427085163,60.37874051862506,1000
116,90.40992255252702,63.92471009974241,1000
117,80.11205079683171,46.838809904461584,1000
118,88.02306932544153,60.33777045076377,1000
119,87.46883361457975,59.4769089548434,1000
120,84.34982400403466,54.30749023467749,1000
121,83.82192271675682,53.08387047229085,1000
122,81.28867086869097,49.17541800909665,1000
123,91.30201564585623,65.36595233312154,1000
124,91.22515615650471,65.12802007763827,1000
125,87.68297179892251,59.67347538381225,1000
126,91.8536346689223,66.32313225915739,1000
127,82.72703613285559,51.46590222564108,1000
128,91.37687493262779,65.44545060557148,1000
129,95.26518421002605,71.11361562949587,1000
130,91.92920797217526,66.25788751508514,1000
131,88.6996605056651,61.43775951161058,1000
132,88.40984191892723,60.95826051762508,1000
133,92.60981409108403,67.22389161826447,1000
