,Arithmetic,Geometric,Control,K,sigma,N
0,168.20232808020518,10.301162302902162,163.86415746585803,99,0.2,354.0
1,167.93740271719523,0.0,173.90039440575026,99,0.2,354.0
2,168.2347888308173,13.805352350303874,160.39242816906847,99,0.2,354.0
3,168.05650669513602,0.0,174.01949838369103,99,0.2,354.0
4,168.21135340207178,11.185238022057188,162.98910706856964,99,0.2,354.0
5,168.2970598166871,21.09091815528912,153.169133349953,99,0.2,354.0
6,168.12748359765885,2.1760411664074994,171.91443411980637,99,0.2,354.0
7,168.18036142234936,7.723724923260322,166.41962818764407,99,0.2,354.0
8,168.2242044083361,12.713044700315786,161.47415139657534,99,0.2,354.0
9,168.0996649695824,0.0,174.06265665813743,99,0.2,354.0
10,168.17265773999583,7.049792088133781,167.08585734041708,99,0.2,354.0
11,167.9363036204968,0.0,173.89929530905184,99,0.2,354.0
12,167.9834476738123,0.0,173.9464393623673,99,0.2,354.0
13,168.0190974081705,0.0,173.98208909672553,99,0.2,354.0
14,168.19316273918332,9.23135173741939,164.92480269031896,99,0.2,354.0
15,168.257183455391,16.248270588541427,157.9719045554046,99,0.2,354.0
16,168.19153394916347,8.920434344373257,165.23409129334527,99,0.2,354.0
17,168.1557425056418,5.1347940953079325,168.9839400988889,99,0.2,354.0
18,168.0104957348988,0.0,173.97348742345383,99,0.2,354.0
19,168.16140699459876,5.804504804629932,168.31989387852386,99,0.2,354.0
20,168.08462757666993,0.0,174.04761926522497,99,0.2,354.0
21,168.05615064419442,0.0,174.01914233274945,99,0.2,354.0
22,168.18638046924698,8.11906748146905,166.03030467633297,99,0.2,354.0
23,167.92997696477605,0.0,173.89296865333108,99,0.2,354.0
24,168.3838766868733,32.14812213668415,142.19874623874418,99,0.2,354.0
25,168.23698142229725,14.067740949452027,160.13223216140022,99,0.2,354.0
26,167.9608971108208,0.0,173.92388879937585,99,0.2,354.0
27,168.08526160699455,0.0,174.04825329554959,99,0.2,354.0
28,168.12536377407216,2.0488799015019863,172.03947556112522,99,0.2,354.0
29,168.1787762301547,7.724360501490324,166.4174074172194,99,0.2,354.0
30,168.1082306975386,0.3639254198860337,173.7072969662076,99,0.2,354.0
31,168.0392706810243,0.0,174.0022623695793,99,0.2,354.0
32,168.18324083637953,8.063731650120028,166.08250087481454,99,0.2,354.0
33,168.33505001430314,25.746131831046306,148.55190987181186,99,0.2,354.0
34,168.1179126941659,1.2070938800439257,172.873810502677,99,0.2,354.0
35,168.29451827273834,20.92060144523104,153.33690851606232,99,0.2,354.0
36,168.00763342280663,0.0,173.97062511136167,99,0.2,354.0
37,168.1210100971108,1.6205175275327137,172.46348425813312,99,0.2,354.0
38,168.2005456067978,10.095448788351062,164.06808850700176,99,0.2,354.0
39,168.19649037962168,9.616833873406092,164.54264819477063,99,0.2,354.0
40,167.91287209060798,0.0,173.875863779163,99,0.2,354.0
41,168.0238816151439,0.0,173.9868733036989,99,0.2,354.0
42,168.33924728320773,26.33886442589788,147.96337454586487,99,0.2,354.0
43,167.97829361735162,0.0,173.94128530590666,99,0.2,354.0
44,168.03433093359175,0.0,173.99732262214675,99,0.2,354.0
45,168.25581557403441,16.177260702101822,158.0415465604876,99,0.2,354.0
46,167.93072864898352,0.0,173.89372033753853,99,0.2,354.0
47,168.13386595390287,2.806427370672179,171.2904302717857,99,0.2,354.0
48,168.1503293413484,4.558650728527378,169.55467030137604,99,0.2,354.0
49,168.1767480849926,7.331668330301354,166.8080714432463,99,0.2,354.0
50,168.28411392653194,19.620462849775496,154.6266427653115,99,0.2,354.0
51,168.28763846772625,19.99750106814193,154.25312908813933,99,0.2,354.0
52,168.14014570812245,3.582835070630952,170.52030232604653,99,0.2,354.0
53,168.1782470312053,7.525409004558211,166.6158297152021,99,0.2,354.0
54,168.1816040103796,7.926531764978161,166.21806393395647,99,0.2,354.0
55,168.11613431654686,1.084042968487282,172.9950830366146,99,0.2,354.0
56,168.0749435113094,0.0,174.03793519986445,99,0.2,354.0
57,168.0815038571115,0.0,174.04449554566654,99,0.2,354.0
58,167.93346917781017,0.0,173.8964608663652,99,0.2,354.0
59,168.0128228102375,0.0,173.97581449879254,99,0.2,354.0
60,168.10726167635625,0.2668435609264179,173.80340980398486,99,0.2,354.0
61,168.16666889595342,6.3165370819151425,167.8131235025933,99,0.2,354.0
62,167.87669960245208,0.0,173.8396912910071,99,0.2,354.0
63,168.3351707957713,25.65312902802099,148.64503345630533,99,0.2,354.0
64,168.1793947099352,7.7209867079605665,166.42139969052968,99,0.2,354.0
65,168.1024857971049,0.0,174.06547748565993,99,0.2,354.0
66,168.31916175046098,23.904103266592053,150.37805017242397,99,0.2,354.0
67,168.19514784971227,9.405454900226374,164.7526846380409,99,0.2,354.0
68,168.02001459066423,0.0,173.98300627921924,99,0.2,354.0
69,168.1097140315038,0.5430242203366386,173.5296814997222,99,0.2,354.0
70,167.94888155637395,0.0,173.91187324492898,99,0.2,354.0
71,168.18241785869026,7.946760000042958,166.19864954720234,99,0.2,354.0
72,168.0902059662642,0.0,174.05319765481923,99,0.2,354.0
73,168.1156418861806,1.0506545134573189,173.02797906127833,99,0.2,354.0
74,168.05508968126895,0.0,174.018081369824,99,0.2,354.0
75,168.32005652164997,23.878028151795448,150.40502005840955,99,0.2,354.0
76,168.0150625642813,0.0,173.97805425283633,99,0.2,354.0
77,168.17220204275674,6.948602724906637,167.1865910064051,99,0.2,354.0
78,167.91169641769633,0.0,173.87468810625137,99,0.2,354.0
79,168.03120281815384,0.0,173.99419450670888,99,0.2,354.0
80,168.00263904681773,0.0,173.96563073537277,99,0.2,354.0
81,168.11313299733584,0.626337657022067,173.44978702886883,99,0.2,354.0
82,168.3047273970445,21.961745344952096,152.30597374064743,99,0.2,354.0
83,168.09888391138392,0.0,174.06187559993896,99,0.2,354.0
84,168.28753407103258,19.941328629198825,154.30919713038878,99,0.2,354.0
85,168.1488787771681,4.443976589985616,169.66789387573755,99,0.2,354.0
86,168.01507894050147,0.0,173.9780706290565,99,0.2,354.0
87,168.25518378706445,16.11757956180688,158.1005959138126,99,0.2,354.0
88,168.18405373548774,8.131251510818304,166.01579391322446,99,0.2,354.0
89,168.03671018351008,0.0,173.99970187206512,99,0.2,354.0
90,167.97880727388332,0.0,173.94179896243836,99,0.2,354.0
91,168.19402639046,9.2012371396841,164.95578093933096,99,0.2,354.0
92,168.2149657913561,11.597851234532852,162.5801062453783,99,0.2,354.0
93,168.07842192128493,0.0,174.04141360983994,99,0.2,354.0
94,168.24948784579914,15.552691153025261,158.65978838132892,99,0.2,354.0
95,168.23064272048097,13.453977722546762,160.73965668648927,99,0.2,354.0
96,168.15982783783386,5.583630374018288,168.5391891523706,99,0.2,354.0
97,167.98477467443212,0.0,173.94776636298715,99,0.2,354.0
98,168.04078989753808,0.0,174.0037815860931,99,0.2,354.0
99,168.22331096509575,12.411574611523896,161.77472804212687,99,0.2,354.0
