,Arithmetic,Geometric,Control,K,sigma,N
0,132.98193310664135,21.395508904819444,117.54852965876755,99,0.2,279.0
1,132.62700628536385,0.0,138.58911174230948,99,0.2,279.0
2,132.76192383674203,0.0,138.72402929368766,99,0.2,279.0
3,132.92868872388155,14.901485312217298,123.98930886860991,99,0.2,279.0
4,133.04832659140308,29.497520677511922,109.5129113708368,99,0.2,279.0
5,132.73003973388325,0.0,138.69214519082888,99,0.2,279.0
6,132.9266234573816,14.927087661942338,123.96164125238488,99,0.2,279.0
7,132.7474322705926,0.0,138.70953772753825,99,0.2,279.0
8,132.83246410782596,4.369689985921148,134.42487957885044,99,0.2,279.0
9,132.99737482196167,23.086064248483588,115.87341603042371,99,0.2,279.0
10,132.87187093176337,8.653486658187518,130.1804897305215,99,0.2,279.0
11,132.9313710024037,15.22778074652774,123.6656957128216,99,0.2,279.0
12,133.0152616135069,25.194494528370345,113.78287254208222,99,0.2,279.0
13,132.81021794272422,2.1876650927811236,136.58465830688874,99,0.2,279.0
14,132.76966964018723,0.0,138.73177509713287,99,0.2,279.0
15,132.79826055038293,0.9491216099474271,137.81124439738113,99,0.2,279.0
16,133.04866607678557,29.71995566481764,109.29081586891355,99,0.2,279.0
17,132.85914323729506,7.2791231429612875,131.54212555127938,99,0.2,279.0
18,132.64847425375567,0.0,138.6105797107013,99,0.2,279.0
19,132.84191153548397,5.469342590347086,133.33467440208253,99,0.2,279.0
20,132.88640680686987,10.216292722172481,128.63221954164302,99,0.2,279.0
21,132.77040044325548,0.0,138.73250590020112,99,0.2,279.0
22,132.81351865191988,2.7539583063053086,136.0216658025602,99,0.2,279.0
23,132.69421110109346,0.0,138.6563165580391,99,0.2,279.0
24,132.91227352477384,12.952547352193607,125.92183162952588,99,0.2,279.0
25,132.97816036413275,20.94291016705849,117.99735565401988,99,0.2,279.0
26,132.54680692447565,0.0,138.50891238142128,99,0.2,279.0
27,133.02802967414837,27.039351806542538,111.95078332455147,99,0.2,279.0
28,132.77587211010513,0.0,138.73797756705076,99,0.2,279.0
29,132.64963753645452,0.0,138.61174299340016,99,0.2,279.0
30,132.8557846904894,6.732981098280302,132.08490904915473,99,0.2,279.0
31,132.9319354887526,15.302098577842836,123.59194236785541,99,0.2,279.0
32,132.9755166922237,20.614736889121783,118.32288526004754,99,0.2,279.0
33,132.81659231058342,2.9558513844068153,135.82284638312223,99,0.2,279.0
34,132.93311335856822,15.310306275554156,123.58491253995969,99,0.2,279.0
35,132.88723751890834,10.29741942357355,128.5519235522804,99,0.2,279.0
36,132.7730625532877,0.0,138.73516801023334,99,0.2,279.0
37,132.7063936454283,0.0,138.66849910237394,99,0.2,279.0
38,132.9369884412709,15.801801475383403,123.09729242283314,99,0.2,279.0
39,132.7969824173637,0.8504471314633459,137.90864074284596,99,0.2,279.0
40,132.85993557917925,7.3454336624904135,131.47660737363447,99,0.2,279.0
41,132.91652185210313,13.572335387869915,125.30629192117887,99,0.2,279.0
42,132.82103564109897,2.96823550252616,135.81490559551847,99,0.2,279.0
43,132.83051787375788,4.164433592830892,134.62818973787262,99,0.2,279.0
44,132.7512227348793,0.0,138.71332819182493,99,0.2,279.0
45,132.71618124626085,0.0,138.67828670320648,99,0.2,279.0
46,132.74916059709292,0.0,138.71126605403856,99,0.2,279.0
47,132.83574763237425,4.967535806948319,133.83031728237157,99,0.2,279.0
48,132.7779450270649,0.0,138.74005048401054,99,0.2,279.0
49,132.7966244687105,0.7327834554320463,138.02594647022408,99,0.2,279.0
50,132.8618151792315,7.433626601927789,131.39029403424937,99,0.2,279.0
51,132.89173367542648,10.824621833913064,128.02921729845903,99,0.2,279.0
52,132.80179007639637,1.3363368945338423,137.42755863880816,99,0.2,279.0
53,132.79527866805847,0.4607686509858722,138.2966154740182,99,0.2,279.0
54,132.71274742273582,0.0,138.67485287968145,99,0.2,279.0
55,132.70469099317415,0.0,138.6667964501198,99,0.2,279.0
56,132.8613705097161,7.5877776340410374,131.2356983326207,99,0.2,279.0
57,132.89770881827297,11.54868294921139,127.31113132600723,99,0.2,279.0
58,132.73878779422114,0.0,138.70089325116678,99,0.2,279.0
59,132.7588836556029,0.0,138.72098911254852,99,0.2,279.0
60,132.80714576688885,1.8676983705349426,136.90155285329956,99,0.2,279.0
61,132.93011958738214,15.188457607252454,123.70376743707534,99,0.2,279.0
62,132.82759357982454,4.073836424763775,134.7158626120064,99,0.2,279.0
63,132.84002472547294,5.31081367767399,133.49131650474456,99,0.2,279.0
64,133.0531742431571,30.27067229593017,108.74460740417254,99,0.2,279.0
65,132.93151850519507,15.01665477878235,123.87696918335837,99,0.2,279.0
66,132.9210514275191,14.120564632806577,124.76259225165815,99,0.2,279.0
67,132.88402795618586,9.979690799704523,128.86644261342698,99,0.2,279.0
68,132.7148152357755,0.0,138.67692069272113,99,0.2,279.0
