,Arithmetic,Geometric,Control,K,sigma,N
0,70.26311860611511,10.606000221962885,65.61542702516184,99,0.2,146.0
1,70.19382816666167,3.1644056920275023,72.98773111564378,99,0.2,146.0
2,70.08549879241346,0.0,76.04380743342307,99,0.2,146.0
3,70.06011737556535,0.0,76.01842601657496,99,0.2,146.0
4,70.05280425417065,0.0,76.01111289518026,99,0.2,146.0
5,70.2828277990795,12.840760213421936,63.40037622666716,99,0.2,146.0
6,70.01279294240557,0.0,75.97110158341518,99,0.2,146.0
7,69.99926482466155,0.0,75.95757346567116,99,0.2,146.0
8,70.17766766406515,1.5386179872578487,74.59735831781691,99,0.2,146.0
9,70.2648199750261,10.677133215082518,65.54599540095319,99,0.2,146.0
10,70.06902022261934,0.0,76.02732886362895,99,0.2,146.0
11,70.36882639372756,22.993639799343303,53.333495235393855,99,0.2,146.0
12,70.18048009993494,1.827219126495797,74.31156961444874,99,0.2,146.0
13,70.181298453034,2.0235884277314162,74.11601866631219,99,0.2,146.0
14,70.17330443975014,1.0296531619575757,75.10195991880218,99,0.2,146.0
15,70.34247099724585,19.634251680051,56.66652795820446,99,0.2,146.0
16,70.17045978606899,0.8931048928349395,75.23566353424366,99,0.2,146.0
17,70.34313007694696,19.65969333602019,56.641745381936374,99,0.2,146.0
18,70.33008941048395,18.522730120336103,57.76566793115745,99,0.2,146.0
19,70.09026122834908,0.0,76.04856986935867,99,0.2,146.0
20,70.14121329657927,0.0,76.09952193758886,99,0.2,146.0
21,70.15114069486954,0.0,76.10944933587913,99,0.2,146.0
22,70.14554787462036,0.0,76.10385651562997,99,0.2,146.0
23,70.25293532620991,9.401323458129454,66.80992050909006,99,0.2,146.0
24,70.01416737403649,0.0,75.97247601504608,99,0.2,146.0
25,69.88235682227452,0.0,75.84066546328413,99,0.2,146.0
26,70.32387814962532,17.12436997839348,59.15781681224144,99,0.2,146.0
27,70.10852612758912,0.0,76.06683476859872,99,0.2,146.0
28,70.13832448935479,0.0,76.0966331303644,99,0.2,146.0
29,70.29070504813791,13.788500709133313,62.460512980014194,99,0.2,146.0
30,70.1081451609571,0.0,76.0664538019667,99,0.2,146.0
31,70.39465187519475,26.214798743920678,50.13816177228369,99,0.2,146.0
32,70.21789922418229,5.516509536284304,70.65969832890758,99,0.2,146.0
33,70.29569405842916,14.065619756188514,62.188382943250254,99,0.2,146.0
34,70.18724107016538,2.601233313665183,73.54431639750982,99,0.2,146.0
35,70.2812145143158,12.494370603435351,63.745152551890065,99,0.2,146.0
36,70.240498373003,8.260135432771994,67.93867158124061,99,0.2,146.0
37,70.23660089951322,7.360895002942394,68.83401453758043,99,0.2,146.0
38,70.18798496903676,2.7786705164495475,73.36762309359683,99,0.2,146.0
39,70.02537437647788,0.0,75.9836830174875,99,0.2,146.0
40,70.2401032456559,8.14591283648995,68.05249905017556,99,0.2,146.0
41,70.14538924099611,0.0,76.10369788200572,99,0.2,146.0
42,70.30630405280344,15.300980068474663,60.96363262533839,99,0.2,146.0
43,70.0535345130679,0.0,76.0118431540775,99,0.2,146.0
44,70.22775383099113,6.471138446617407,69.71492402538334,99,0.2,146.0
45,70.18324610674713,2.29840997307358,73.84314477468315,99,0.2,146.0
46,70.1396723568806,0.0,76.0979809978902,99,0.2,146.0
47,69.98637206343167,0.0,75.94468070444127,99,0.2,146.0
48,70.08199285872284,0.0,76.04030149973245,99,0.2,146.0
49,70.19886460633091,3.518753531984709,72.63841971535581,99,0.2,146.0
50,70.13643558332552,0.0,76.09474422433513,99,0.2,146.0
51,70.26006647967266,10.110478543474487,66.10789657720777,99,0.2,146.0
52,70.2083969866288,4.831795621453385,71.33491000618503,99,0.2,146.0
53,69.87496313006551,0.0,75.83327177107512,99,0.2,146.0
54,69.98473845099893,0.0,75.94304709200853,99,0.2,146.0
55,70.23019243455366,6.966646655107932,69.22185442045534,99,0.2,146.0
56,70.2175536250695,5.847847915068596,70.32801435101051,99,0.2,146.0
57,70.25340852769867,9.488600287792984,66.7231168809153,99,0.2,146.0
58,70.16882029981065,0.6726115826377129,75.45451735818254,99,0.2,146.0
59,69.98488715190351,0.0,75.94319579291312,99,0.2,146.0
60,70.21711725361475,5.662233376155983,70.51319251846837,99,0.2,146.0
61,70.13343212442244,0.0,76.09174076543205,99,0.2,146.0
62,70.1704796000018,0.7509911536644256,75.37779708734698,99,0.2,146.0
63,70.13000787787345,0.0,76.08831651888305,99,0.2,146.0
64,70.24218663465399,8.365537790443582,67.83495748522002,99,0.2,146.0
65,70.42594238526503,29.788146191230705,46.59610483504393,99,0.2,146.0
66,70.22738612895056,6.860545912650561,69.32514885730961,99,0.2,146.0
67,70.08992073553183,0.0,76.04822937654144,99,0.2,146.0
68,70.32825756898927,18.121909553598922,58.164656656399956,99,0.2,146.0
69,70.16133286231545,0.1399548856499369,75.97968661767513,99,0.2,146.0
70,70.17742371119573,1.5215975542631492,74.61413479794219,99,0.2,146.0
71,70.36913871629915,23.120059702469327,53.20738765483943,99,0.2,146.0
72,70.389180506081,25.721428912461192,50.62606023462942,99,0.2,146.0
73,70.29568328648716,14.200067459258582,62.05392446823818,99,0.2,146.0
74,70.13980388671396,0.0,76.09811252772357,99,0.2,146.0
75,70.22448617207213,6.455575588439002,69.72721922464274,99,0.2,146.0
76,70.36690436879088,22.556233551070488,53.76897945873,99,0.2,146.0
77,70.13542243428414,0.0,76.09373107529375,99,0.2,146.0
78,70.15043242465634,0.0,76.10874106566595,99,0.2,146.0
79,70.0302033037308,0.0,75.9885119447404,99,0.2,146.0
80,70.31803409198655,16.752558477860283,59.52378425513587,99,0.2,146.0
81,70.07468191677012,0.0,76.03299055777973,99,0.2,146.0
82,70.18676023041976,2.5804712474609026,73.56459762396847,99,0.2,146.0
83,70.07113979481133,0.0,76.02944843582094,99,0.2,146.0
84,70.0878494194606,0.0,76.0461580604702,99,0.2,146.0
85,70.32244120671436,17.027148162274177,59.25360168544979,99,0.2,146.0
86,70.16932135648938,0.6589612952058471,75.46866870229313,99,0.2,146.0
87,70.14157508251833,0.0,76.09988372352794,99,0.2,146.0
88,70.18238516197886,2.066045432306027,74.07464837068244,99,0.2,146.0
89,70.15915132563852,0.0,76.11745996664813,99,0.2,146.0
90,70.15533904099676,0.0,76.11364768200637,99,0.2,146.0
91,70.12443699782347,0.0,76.08274563883307,99,0.2,146.0
92,70.26230495363454,10.471272966504944,65.7493406281392,99,0.2,146.0
93,70.33040892920394,18.305979025482976,57.982738544730566,99,0.2,146.0
94,70.06019920692795,0.0,76.01850784793756,99,0.2,146.0
95,69.96169041012236,0.0,75.91999905113197,99,0.2,146.0
96,70.15505239607677,0.0,76.11336103708638,99,0.2,146.0
97,70.07840682341087,0.0,76.03671546442048,99,0.2,146.0
98,70.05681349780072,0.0,76.01512213881033,99,0.2,146.0
99,70.06477720805319,0.0,76.02308584906278,99,0.2,146.0
