,Arithmetic,Geometric,Control,K,sigma,N
0,116.66889311990668,0.0,122.63041873223699,99,0.2,245.0
1,116.88172026934356,10.548581232872255,112.29466464880161,99,0.2,245.0
2,116.75353880088879,0.0,122.7150644132191,99,0.2,245.0
3,116.85353820494258,7.630853892488859,115.18420992478404,99,0.2,245.0
4,116.69780308223496,0.0,122.65932869456527,99,0.2,245.0
5,116.97087472217403,20.820784840628843,102.1116154938755,99,0.2,245.0
6,116.8861750575512,11.532092606168117,111.3156080637134,99,0.2,245.0
7,116.8855134435941,11.270289731492579,111.57674932443184,99,0.2,245.0
8,116.57178903605373,0.0,122.53331464838405,99,0.2,245.0
9,116.74323202851008,0.0,122.70475764084038,99,0.2,245.0
10,116.74462366320967,0.0,122.70614927553997,99,0.2,245.0
11,116.48928335861258,0.0,122.4508089709429,99,0.2,245.0
12,116.87300757796173,10.04717331529231,112.78735987499974,99,0.2,245.0
13,116.80068635681192,2.2909610207169715,120.47125094842528,99,0.2,245.0
14,116.67697712507002,0.0,122.63850273740034,99,0.2,245.0
15,116.63739002295837,0.0,122.59891563528869,99,0.2,245.0
16,116.62630514134142,0.0,122.58783075367174,99,0.2,245.0
17,116.89474340573604,12.195662852768592,110.66060616529776,99,0.2,245.0
18,116.64454041861556,0.0,122.60606603094588,99,0.2,245.0
19,116.56642731425318,0.0,122.52795292658348,99,0.2,245.0
20,116.86248378764098,8.505136070577898,114.3188733293934,99,0.2,245.0
21,117.10537924293277,38.52811468099586,84.53879017426723,99,0.2,245.0
22,116.80831462848671,2.830077719852521,119.9397625209645,99,0.2,245.0
23,116.7962110920913,1.9192366740771012,120.83850003034452,99,0.2,245.0
24,116.81975020754426,3.8657812772066915,118.91549454266789,99,0.2,245.0
25,116.68246182092427,0.0,122.6439874332546,99,0.2,245.0
26,116.75772276693053,0.0,122.71924837926083,99,0.2,245.0
27,116.98315382866646,22.61916574120594,100.32551369979085,99,0.2,245.0
28,116.78640808652369,0.7830326008544809,121.96490109799954,99,0.2,245.0
29,116.7997896014554,2.0221088172832076,120.7392063965025,99,0.2,245.0
30,116.69786284177871,0.0,122.65938845410902,99,0.2,245.0
31,116.75082937688165,0.0,122.71235498921197,99,0.2,245.0
32,116.8300306202131,5.235736869821328,117.55581936272208,99,0.2,245.0
33,116.95628570181752,19.23645198194102,103.68135933220681,99,0.2,245.0
34,116.87059811289537,9.57240528372535,113.25971844150033,99,0.2,245.0
35,116.79359291867047,1.5047095435986433,121.25040898740214,99,0.2,245.0
36,116.70039156773409,0.0,122.6619171800644,99,0.2,245.0
37,116.84931083038475,7.292941241207433,115.51789520150764,99,0.2,245.0
38,116.91954883139337,14.793909642508835,108.08716480121485,99,0.2,245.0
39,116.94075482745205,17.6538038481865,105.24847659159587,99,0.2,245.0
40,116.88048574768284,10.674830320800696,112.16718103921245,99,0.2,245.0
41,116.64045720312403,0.0,122.60198281545435,99,0.2,245.0
42,116.75592316746543,0.0,122.71744877979575,99,0.2,245.0
43,116.77498746861025,0.0,122.73651308094057,99,0.2,245.0
44,116.81939215500823,4.093536121644884,118.68738164569366,99,0.2,245.0
45,116.7602142117271,0.0,122.72173982405742,99,0.2,245.0
46,116.73687034815427,0.0,122.69839596048458,99,0.2,245.0
47,116.82446187834712,4.702071886266176,118.08391560441126,99,0.2,245.0
48,116.71180802120014,0.0,122.67333363353045,99,0.2,245.0
49,116.60538328657486,0.0,122.56690889890517,99,0.2,245.0
50,116.93469700024804,16.64903636131299,106.24718625126536,99,0.2,245.0
51,116.95646995863727,18.94085116778121,103.97714440318637,99,0.2,245.0
52,116.74458444077608,0.0,122.7061100531064,99,0.2,245.0
53,116.85576925350475,7.948636724644072,114.86865814119098,99,0.2,245.0
54,116.79917206348578,2.0928961120752874,120.6678015637408,99,0.2,245.0
55,116.70718854164181,0.0,122.66871415397213,99,0.2,245.0
56,116.77067807816032,0.0,122.73220369049064,99,0.2,245.0
57,116.74045594244961,0.0,122.70198155477992,99,0.2,245.0
58,116.94306440944948,17.630633408671002,105.27395661310878,99,0.2,245.0
59,116.85142012198237,7.483685883973165,115.32925985033953,99,0.2,245.0
60,116.7985096310817,2.0212572526889114,120.73877799072311,99,0.2,245.0
61,116.99419108629323,23.75159513355653,99.20412156506701,99,0.2,245.0
62,116.77863815492742,0.13798781040966066,122.60217595684807,99,0.2,245.0
63,116.87855581953279,10.36744063019725,112.47264080166585,99,0.2,245.0
64,116.68955690134848,0.0,122.65108251367879,99,0.2,245.0
65,116.79848233618806,2.0102910001891234,120.74971694832925,99,0.2,245.0
66,117.07104464023398,33.804255371575834,89.22831488098845,99,0.2,245.0
67,116.65698344990894,0.0,122.61850906223926,99,0.2,245.0
68,116.81451573025564,3.684352487930515,119.09168885465544,99,0.2,245.0
69,116.70603707211012,0.0,122.66756268444043,99,0.2,245.0
70,116.8351387259064,5.652555649440748,117.14410868879597,99,0.2,245.0
71,116.93447897256809,16.715948129152174,106.18005645574623,99,0.2,245.0
72,116.89126006856291,11.753299648619869,111.09948603227336,99,0.2,245.0
73,116.6140293922204,0.0,122.57555500455072,99,0.2,245.0
74,116.88509532757682,11.332524065623012,111.51409687428412,99,0.2,245.0
75,116.91609053442879,14.777470769099079,108.10014537766003,99,0.2,245.0
76,116.82894350552776,5.1051481017818165,117.68532101607626,99,0.2,245.0
77,116.79353666591524,1.499961157917243,121.25510112032832,99,0.2,245.0
78,116.6966737101006,0.0,122.6581993224309,99,0.2,245.0
79,116.8243693930456,4.6737238888363795,118.11217111653953,99,0.2,245.0
80,116.83466682277378,5.677542782820906,117.1186496522832,99,0.2,245.0
81,116.84896405071856,7.105420284949086,115.7050693780998,99,0.2,245.0
82,116.6278209457646,0.0,122.58934655809492,99,0.2,245.0
83,116.81846042512329,3.9593330606356347,118.82065297681797,99,0.2,245.0
84,116.85386380651423,7.80581638870538,115.00957303013915,99,0.2,245.0
85,116.92358069338584,15.621063615656269,107.26404269005988,99,0.2,245.0
86,116.79474205305657,1.5406207821972329,121.21564688318963,99,0.2,245.0
87,116.82821615347635,5.045829321111098,117.74391244469557,99,0.2,245.0
88,116.96663096057195,20.627164608310792,102.30099196459147,99,0.2,245.0
89,116.95334266441171,18.9962789970463,103.91858927969572,99,0.2,245.0
90,116.86224927596949,8.595398479242983,114.22837640905682,99,0.2,245.0
91,116.9300429429822,16.310526643083474,106.58104191222904,99,0.2,245.0
