,Arithmetic,Geometric,Control,K,sigma,N
0,164.3253945100398,0.0,170.28830992486797,99,0.2,346.0
1,164.51237378434104,19.129891144890824,151.34539805427835,99,0.2,346.0
2,164.43150102999914,9.77420866671419,160.6202077781131,99,0.2,346.0
3,164.16833395826103,0.0,170.13124937308916,99,0.2,346.0
4,164.45902227564858,12.614031416437836,157.8079062740389,99,0.2,346.0
5,164.29247534490227,0.0,170.25539075973043,99,0.2,346.0
6,164.55112582431727,23.672839244092224,146.84120199505318,99,0.2,346.0
7,164.24770714892443,0.0,170.2106225637526,99,0.2,346.0
8,164.236920734905,0.0,170.19983614973316,99,0.2,346.0
9,164.2240270861181,0.0,170.18694250094623,99,0.2,346.0
10,164.3371865321141,0.007386293822982283,170.29271565311925,99,0.2,346.0
11,164.40826134443526,7.21687130779554,163.15430545146785,99,0.2,346.0
12,164.30999994360548,0.0,170.27291535843364,99,0.2,346.0
13,164.4325521247801,9.7313358620238,160.66413167758444,99,0.2,346.0
14,164.46659185659246,13.451897774434054,156.97760949698656,99,0.2,346.0
15,164.3120879934303,0.0,170.27500340825844,99,0.2,346.0
16,164.53433556352394,21.69342981587115,148.80382116248094,99,0.2,346.0
17,164.32525819387325,0.0,170.2881736087014,99,0.2,346.0
18,164.6412542778565,35.317085696392056,135.28708399629258,99,0.2,346.0
19,164.33498556426372,0.0,170.29790097909188,99,0.2,346.0
20,164.16032900210254,0.0,170.1232444169307,99,0.2,346.0
21,164.18494251891724,0.0,170.14785793374537,99,0.2,346.0
22,164.37640665853112,3.7903711071911608,166.5489509661681,99,0.2,346.0
23,164.38660422750473,4.9468813237912785,165.4026383185416,99,0.2,346.0
24,164.2418664602359,0.0,170.20478187506407,99,0.2,346.0
25,164.4033130110614,6.840957383021059,163.52527104286852,99,0.2,346.0
26,164.28137093397015,0.0,170.2442863487983,99,0.2,346.0
27,164.3725890378365,3.5725060804000752,166.76299837226458,99,0.2,346.0
28,164.3521153751406,1.5786937266444843,168.73633706332427,99,0.2,346.0
29,164.352949839702,1.386587220138342,168.92927803439184,99,0.2,346.0
30,164.31212806911205,0.0,170.2750434839402,99,0.2,346.0
31,164.5187447639686,19.773621389364646,150.70803878943212,99,0.2,346.0
32,164.2991508462932,0.0,170.26206626112133,99,0.2,346.0
