,Arithmetic,Geometric,Control,K,sigma,N,n
0,40.876316061378226,40.75701064902184,37.99223413878039,60.0,0.2,365,10000
1,35.64465273675776,35.48938436004042,38.028197103141345,60.0,0.2,365,10000
2,34.071018195039045,33.96803059748917,37.97591632397388,60.0,0.2,365,10000
3,25.816017374871773,25.076829605152657,38.612116496143116,60.0,0.2,365,10000
4,39.87472037000806,39.76829378467722,37.979355311754844,60.0,0.2,365,10000
5,29.6268708650824,29.382597546082387,38.117202045424015,60.0,0.2,365,10000
6,33.12036927371215,33.076722946303775,37.916575053832375,60.0,0.2,365,10000
7,54.12652966955918,53.2722489994136,38.727209396569584,60.0,0.2,365,10000
8,40.45530936290752,40.32703994386561,38.001198145465914,60.0,0.2,365,10000
9,48.3227592227614,48.059799684849565,38.135888264335826,60.0,0.2,365,10000
10,37.443349226683445,37.29731706406492,38.01896088904252,60.0,0.2,365,10000
11,26.62748470102012,26.523743921590107,37.97666950585401,60.0,0.2,365,10000
12,57.532057094608085,57.2288821459782,38.17610367505388,60.0,0.2,365,10000
13,31.97626618959094,31.923785157298806,37.925409758716135,60.0,0.2,365,10000
14,37.89141374038031,37.54890905561675,38.21543341118756,60.0,0.2,365,10000
15,40.59157838788276,40.45985957278487,38.00464754152189,60.0,0.2,365,10000
16,35.000204136881855,34.73226889354898,38.14086396975688,60.0,0.2,365,10000
17,59.88024466577422,59.25024121556393,38.50293217663429,60.0,0.2,365,10000
18,34.78117846139094,34.73320141782429,37.92090576999065,60.0,0.2,365,10000
19,44.508166983742825,44.36114878556732,38.019946924599495,60.0,0.2,365,10000
20,39.5244633502366,39.455721276623635,37.94167080003696,60.0,0.2,365,10000
21,29.031343096612748,28.93777608907588,37.96649573396086,60.0,0.2,365,10000
22,29.31014533359515,29.170047723788016,38.01302633623113,60.0,0.2,365,10000
23,49.948876779186435,49.662678954386855,38.15912655122358,60.0,0.2,365,10000
24,39.238445442679165,38.60161590522457,38.50975826387859,60.0,0.2,365,10000
25,25.68268685293869,25.12412991230346,38.43148566705923,60.0,0.2,365,10000
26,36.32746692549908,35.91871297801936,38.281682673903724,60.0,0.2,365,10000
27,42.61034555976468,42.42597289453639,38.05730139165229,60.0,0.2,365,10000
28,45.69220370205855,45.32236836298374,38.24276406549881,60.0,0.2,365,10000
29,36.010066697285566,35.83899300751131,38.044002416198246,60.0,0.2,365,10000
30,40.59960002792731,40.52894610851438,37.94358264583692,60.0,0.2,365,10000
31,40.45915369187684,40.39725004127124,37.93483237702959,60.0,0.2,365,10000
32,21.481559260076914,21.051510387535032,38.302977598965875,60.0,0.2,365,10000
33,48.782526613583826,47.75747087923585,38.89798446077197,60.0,0.2,365,10000
34,45.305062989832614,45.255892926606485,37.92209878965012,60.0,0.2,365,10000
35,53.71808926383587,52.5407579397358,39.050260050524074,60.0,0.2,365,10000
36,47.690718454878095,47.58709231619958,37.976554865102514,60.0,0.2,365,10000
37,21.022714471018258,20.434802161102887,38.46084103633937,60.0,0.2,365,10000
38,45.93948340779927,45.63877209184235,38.173640042380924,60.0,0.2,365,10000
39,63.59049830864962,62.47242434400108,38.99100269107254,60.0,0.2,365,10000
40,25.11807536097403,24.605833192326134,38.385170895071894,60.0,0.2,365,10000
41,50.286537692108546,50.09912136440816,38.06034505412438,60.0,0.2,365,10000
42,47.146668777700846,46.7138141873614,38.305783316763446,60.0,0.2,365,10000
43,34.1595482307519,33.853435843372004,38.1790411138039,60.0,0.2,365,10000
44,30.151571677029242,29.882204559723274,38.14229584372997,60.0,0.2,365,10000
45,26.853713375706104,26.71323350203433,38.01340860009577,60.0,0.2,365,10000
46,32.61840711810916,32.216399268314575,38.274936576218586,60.0,0.2,365,10000
47,47.43359111676434,46.81526256733073,38.49125727585761,60.0,0.2,365,10000
48,50.24731619675867,49.82166224328183,38.29858267990084,60.0,0.2,365,10000
49,36.374536417606386,36.30393048868986,37.94353465534053,60.0,0.2,365,10000
50,59.79681673006561,58.95109283944102,38.71865261704858,60.0,0.2,365,10000
51,40.869023053521374,40.558564494471305,38.18338728547407,60.0,0.2,365,10000
52,32.821485147839844,32.72865414591653,37.96575972834731,60.0,0.2,365,10000
53,46.81158561465096,46.72398614506054,37.960528196014415,60.0,0.2,365,10000
54,67.54847800370241,67.10098706221933,38.320419667907075,60.0,0.2,365,10000
55,55.90952668601698,55.6318996310427,38.150555781398275,60.0,0.2,365,10000
56,42.52871801324719,42.277426438594645,38.12422030107655,60.0,0.2,365,10000
57,52.33870595276679,51.90370681301373,38.30792786617706,60.0,0.2,365,10000
58,34.28530100510169,34.13555036857489,38.0226793629508,60.0,0.2,365,10000
59,21.87399420907695,21.52440674271887,38.222516192782074,60.0,0.2,365,10000
60,60.46931724354021,59.87822047303426,38.46402549692995,60.0,0.2,365,10000
61,53.38970720184908,52.3152295797528,38.947406348520275,60.0,0.2,365,10000
62,45.57849399287908,45.34888582208316,38.10253689721992,60.0,0.2,365,10000
63,34.36352112790661,34.247729134283276,37.98872072004733,60.0,0.2,365,10000
64,66.83104030748625,65.61821926724387,39.08574976666637,60.0,0.2,365,10000
65,33.18556608052362,33.14103775176965,37.91745705517797,60.0,0.2,365,10000
66,44.58019945782013,43.84356478914744,38.60956339509668,60.0,0.2,365,10000
67,36.40609179971517,36.321874257664355,37.957146268474816,60.0,0.2,365,10000
68,49.6760084068878,49.32475744873955,38.22417968457225,60.0,0.2,365,10000
69,32.81590505054256,32.7110841856779,37.977749591288664,60.0,0.2,365,10000
70,36.81819939738109,36.35194308110428,38.339185042700805,60.0,0.2,365,10000
71,45.233703757180756,44.800674249771575,38.30595823383318,60.0,0.2,365,10000
72,27.796072480106144,27.714507113760373,37.95449409276977,60.0,0.2,365,10000
73,44.55389746342851,44.415014664836335,38.01181152501618,60.0,0.2,365,10000
74,39.05021781734854,38.738707481562436,38.1844390622101,60.0,0.2,365,10000
75,53.01800017253858,52.69912590560258,38.19180299336,60.0,0.2,365,10000
76,55.76233193606775,55.20400014937279,38.43126051311896,60.0,0.2,365,10000
77,63.6450789283168,62.553961664013386,38.96404599072741,60.0,0.2,365,10000
78,51.47686868865791,50.830405582742635,38.519391832339274,60.0,0.2,365,10000
79,46.0456457743875,45.91094916724063,38.007625333570864,60.0,0.2,365,10000
80,35.11623749728881,34.96868494982411,38.0204812738887,60.0,0.2,365,10000
81,24.08495207391703,23.69009108307271,38.26778971726832,60.0,0.2,365,10000
82,36.846077842952276,36.754953435141545,37.964053134234724,60.0,0.2,365,10000
83,60.47250265399384,59.496624132488876,38.84880724792897,60.0,0.2,365,10000
84,48.68529726903899,48.411530258217546,38.14669573724544,60.0,0.2,365,10000
