,Arithmetic,Geometric,Control,K,sigma,N
0,200.71457050562185,39.69449213643957,190.02481421532468,70.0,0.2,365
1,200.49978659186485,18.19213464343125,211.31238779457604,70.0,0.2,365
2,200.66758542195245,34.751525323376185,194.92079594471866,70.0,0.2,365
3,200.6272580038949,30.454681085363518,199.17731276467381,70.0,0.2,365
4,200.50912763603267,19.070057866654782,210.44380561552032,70.0,0.2,365
5,200.676334150184,35.594487537848984,194.08658245847747,70.0,0.2,365
6,200.70179030012278,38.248934159482985,191.45759198678223,70.0,0.2,365
7,200.56049289481814,23.90731185330387,205.6579168876567,70.0,0.2,365
8,200.63165658332528,30.933662205349627,198.70273022411808,70.0,0.2,365
9,200.55204112891985,23.136772025163328,206.42000494989895,70.0,0.2,365
10,200.67423012203582,35.43666198794783,194.24230398023045,70.0,0.2,365
11,200.66868415828472,34.91147995893003,194.7619400454971,70.0,0.2,365
12,200.4767985522882,16.234871739612217,213.2466626588184,70.0,0.2,365
13,200.5182878424684,19.931420925556353,209.59160276305448,70.0,0.2,365
14,200.7339070490201,42.10574208503505,187.63290081012747,70.0,0.2,365
15,200.54961741754147,22.76790406179442,206.78644920188944,70.0,0.2,365
16,200.64624634639222,32.44391310934723,197.2070690831874,70.0,0.2,365
17,200.81227238643882,51.2813057952524,178.53570243732887,70.0,0.2,365
18,200.64395796883454,32.3029039941793,197.34578982079768,70.0,0.2,365
19,200.5818805415941,25.990203868644716,203.5964125190918,70.0,0.2,365
20,200.6142701768606,29.136445574916618,200.48256044808642,70.0,0.2,365
21,200.62677347931563,30.358078848675344,199.27343047678272,70.0,0.2,365
22,200.71542751990492,39.9433536480202,189.77680971802712,70.0,0.2,365
23,200.6025107514698,27.936906529710498,201.67034006790175,70.0,0.2,365
24,200.51874775728757,19.890794350125706,209.6326892533043,70.0,0.2,365
25,200.56694869820916,24.530783529644385,205.0409010147072,70.0,0.2,365
26,200.5219457607519,20.30407217142594,209.22260943546837,70.0,0.2,365
27,200.52697127745856,20.806986817852575,208.7247203057484,70.0,0.2,365
28,200.73514497249673,42.14012525079073,187.5997555678484,70.0,0.2,365
29,200.78508939391975,48.24128828827955,181.5485369517826,70.0,0.2,365
30,200.75403698677107,44.3367570327664,185.4220158001471,70.0,0.2,365
31,200.51674065384634,19.791344372964183,209.73013212702458,70.0,0.2,365
32,200.57134615028417,24.866729498182952,204.70935249824362,70.0,0.2,365
33,200.63773955200344,31.596842898215765,198.0456324999301,70.0,0.2,365
34,200.57692175635557,25.46507075632136,204.11658684617663,70.0,0.2,365
35,200.51537644116075,19.698053971128726,209.82205831617446,70.0,0.2,365
36,200.8024813201494,50.26814372986147,179.53907343643036,70.0,0.2,365
37,200.56789836772109,24.647222810062278,204.92541140380126,70.0,0.2,365
38,200.593387282808,26.984211794975575,202.61391133397487,70.0,0.2,365
39,200.70459265134505,38.8603284573674,190.84900004012005,70.0,0.2,365
40,200.56396655475544,24.17064579704551,205.39805660385235,70.0,0.2,365
41,200.61496731468597,29.362326012171618,200.25737714865676,70.0,0.2,365
42,200.65966142895869,33.865006650173044,195.79939062492807,70.0,0.2,365
43,200.78213751601615,47.70104286441183,182.08583049774674,70.0,0.2,365
44,200.58149939840297,25.940035104895678,203.6462001396497,70.0,0.2,365
45,200.44814135352155,13.78472879013967,215.66814840952432,70.0,0.2,365
46,200.50358371183745,18.604094299141515,210.90422525883835,70.0,0.2,365
47,200.60462033864908,28.055927688944855,201.55342849584667,70.0,0.2,365
48,200.66960500653408,34.750269774465714,194.9240710782108,70.0,0.2,365
49,200.51130037493704,19.328753134532057,210.1872830865474,70.0,0.2,365
50,200.4754679302233,16.175002014763404,213.3052017616023,70.0,0.2,365
51,200.58191844863455,25.92256911374843,203.66408518102853,70.0,0.2,365
52,200.683698862989,36.497393707206484,193.19104100192493,70.0,0.2,365
53,200.73306364508338,42.025985770920855,187.71181372030497,70.0,0.2,365
54,200.68133955733612,36.23481643980264,193.4512589636759,70.0,0.2,365
55,200.43238674513356,12.48972658695505,216.94739600432095,70.0,0.2,365
56,200.6539300010618,33.28926872046772,196.36939712673652,70.0,0.2,365
57,200.5071040470452,18.89212177066908,210.61971812251858,70.0,0.2,365
58,200.5663453537082,24.534033950039063,205.03704724981154,70.0,0.2,365
59,200.81129414139997,51.2870100308892,178.5290199566532,70.0,0.2,365
60,200.40972878155625,10.540076373403918,218.87438825429473,70.0,0.2,365
61,200.62717467267044,30.520827575345383,199.11108294346747,70.0,0.2,365
62,200.6139980722245,29.033964551410087,200.5847693669568,70.0,0.2,365
63,200.71156121072642,39.36549349765376,190.35080355921508,70.0,0.2,365
64,200.75832271689612,44.963852621546955,184.7992059414916,70.0,0.2,365
65,200.71083136327294,39.38493034867903,190.33063686073632,70.0,0.2,365
66,200.58697244021187,26.41919214643496,203.1725161399193,70.0,0.2,365
67,200.6596941200759,33.70754651497021,195.9568834512481,70.0,0.2,365
68,200.46810899409166,15.48193108255468,213.99091375767944,70.0,0.2,365
69,200.70223833466738,38.5577217776673,191.14925240314253,70.0,0.2,365
70,200.57955877098138,25.689107883185176,203.89518673393863,70.0,0.2,365
71,200.73633802658455,42.341535002271634,187.39953887045533,70.0,0.2,365
72,200.59096698001437,26.772144625384463,202.82355820077234,70.0,0.2,365
73,200.5794418310269,25.82597004103831,203.758207636131,70.0,0.2,365
74,200.57457387619968,25.236950041452832,204.34235968088927,70.0,0.2,365
75,200.52589607095746,20.556159910263073,208.97447200683683,70.0,0.2,365
76,200.68873772596942,37.12128767021228,192.5721859018996,70.0,0.2,365
77,200.644484136262,32.286938004195925,197.3622819782085,70.0,0.2,365
78,200.67782357811268,35.68444447754599,193.9981149467091,70.0,0.2,365
79,200.92110486017177,65.71508186139182,164.21075884492237,70.0,0.2,365
80,200.55112485222378,22.958620806761637,206.59723989160457,70.0,0.2,365
81,200.6133538078372,29.067175346338033,200.5509143076416,70.0,0.2,365
82,200.5486260881992,22.672781652878687,206.88058028146295,70.0,0.2,365
83,200.58955685139804,26.637279509143372,202.9570131883971,70.0,0.2,365
84,200.43398161909286,12.655178029202595,216.7835394360327,70.0,0.2,365
85,200.70441861358134,38.62798090760484,191.08117355211894,70.0,0.2,365
86,200.60511281949385,28.207471140887677,201.4023775247486,70.0,0.2,365
87,200.71108658984016,39.45013464249431,190.26568779348827,70.0,0.2,365
88,200.68549780930806,36.59694704626376,193.09328660918672,70.0,0.2,365
89,200.81833932021652,52.13728193798536,177.68579322837357,70.0,0.2,365
90,200.49653777166887,18.063480850900312,211.43779276691097,70.0,0.2,365
91,200.72556464661304,41.062483746919916,188.66781674583552,70.0,0.2,365
92,200.68197130536103,36.23948467268671,193.44722247881677,70.0,0.2,365
93,200.50843234811464,18.870303547389444,210.6428646468676,70.0,0.2,365
94,200.6287564996889,30.571997057295118,199.0614952885362,70.0,0.2,365
95,200.63704959041448,31.511340784214077,198.13044465234282,70.0,0.2,365
96,200.7400190767912,42.67298572312472,187.0717691998089,70.0,0.2,365
97,200.49264048041604,17.741883281473537,211.7554930450849,70.0,0.2,365
98,200.73587750937642,42.247086877012826,187.49352647850603,70.0,0.2,365
99,200.4783228835227,16.39498021996127,213.08807850970385,70.0,0.2,365
