,Arithmetic,Geometric,Control,K,sigma,N
0,218.6358265612567,60.89898457044548,203.59205210733452,51.0,0.2,365
1,218.512047770577,47.4813837839632,216.88587410313716,51.0,0.2,365
2,218.5879430669336,55.316641365909554,209.12651181754742,51.0,0.2,365
3,218.64198796108062,61.70500408488976,202.79219399271418,51.0,0.2,365
4,218.48261209301032,44.579975438740675,219.75784677079298,51.0,0.2,365
5,218.630724503754,60.340479735408046,204.1454548848693,51.0,0.2,365
6,218.5915474593674,55.86288659627997,208.5838709796108,51.0,0.2,365
7,218.5538605131227,51.93650402933781,212.47256660030817,51.0,0.2,365
8,218.38848840791061,35.771003821623246,228.4726947028107,51.0,0.2,365
9,218.43846562409988,40.33017927864928,223.96349646197393,51.0,0.2,365
10,218.54493897536418,50.91850178068908,213.48164731119843,51.0,0.2,365
11,218.63974468514706,61.294305637466195,203.2006491642042,51.0,0.2,365
12,218.5554796683355,51.94297276183582,212.46771702302303,51.0,0.2,365
13,218.6572220066467,63.580427351084,200.93200477208603,51.0,0.2,365
14,218.42508166719864,39.12934119999927,225.1509505837227,51.0,0.2,365
15,218.53003586743148,49.226323126993705,215.15892285696114,51.0,0.2,365
16,218.49586977126975,45.8434578249877,218.50762206280538,51.0,0.2,365
17,218.62360890707154,59.449457894832385,205.0293611287625,51.0,0.2,365
18,218.35229281214376,32.51926152352198,231.68824140514513,51.0,0.2,365
19,218.58586884364104,55.33688883867457,209.1041901214898,51.0,0.2,365
20,218.36286515276808,33.53289518798034,230.68518008131107,51.0,0.2,365
21,218.65670065305275,63.310956760291646,201.20095400928446,51.0,0.2,365
22,218.53585678331376,49.859576936404146,214.53148996343296,51.0,0.2,365
23,218.42488630741562,39.15604758050972,225.12404884342922,51.0,0.2,365
24,218.53281282801376,49.62226423747887,214.7657587070582,51.0,0.2,365
25,218.6356949840844,61.04227197241286,203.4486331281949,51.0,0.2,365
26,218.64316611730968,61.80400131288635,202.69437492094664,51.0,0.2,365
27,218.48032650880046,44.438177080881474,219.89735954444234,51.0,0.2,365
28,218.5113707552076,47.355491917094184,217.01108895463673,51.0,0.2,365
29,218.45812478653087,42.10972219988097,222.20361270317323,51.0,0.2,365
30,218.59645309440128,56.5210256501924,207.9306375607322,51.0,0.2,365
31,218.48731823228616,44.933285265149415,219.4092430836601,51.0,0.2,365
32,218.3930934749977,36.20751982436816,228.04078376715287,51.0,0.2,365
33,218.62189640013244,59.294994446051405,205.18211207060438,51.0,0.2,365
34,218.44246531181807,40.73728716586499,223.56038826247644,51.0,0.2,365
