,Arithmetic,Geometric,Control,K,sigma,N,n
0,43.296789578169,43.25154658234558,40.57893073142244,57.0,0.2,365,10000
1,55.36008489026526,54.92618885668066,40.967583769183626,57.0,0.2,365,10000
2,54.137117480416535,53.931394723573774,40.739410492441785,57.0,0.2,365,10000
3,34.38467646578899,34.14117291444692,40.7771912869411,57.0,0.2,365,10000
4,36.99015506336859,36.74928884716637,40.774553951801245,57.0,0.2,365,10000
5,44.08194984144169,43.98843137792284,40.627206199117865,57.0,0.2,365,10000
6,24.305554252665445,23.675615170145523,41.16362681811895,57.0,0.2,365,10000
7,51.00369454481015,50.71196567408826,40.825416606320914,57.0,0.2,365,10000
8,29.52364245401138,29.370239882415405,40.68709030719499,57.0,0.2,365,10000
9,36.57535525451039,36.480639239811204,40.62840375029821,57.0,0.2,365,10000
10,53.48827837832484,52.830178922595415,41.19178719132845,57.0,0.2,365,10000
11,47.24593837350963,46.947381948923805,40.83224416018485,57.0,0.2,365,10000
12,35.98664123735151,35.72600940351013,40.7943195694404,57.0,0.2,365,10000
13,26.75654508035993,25.858008859937723,41.43222395602123,57.0,0.2,365,10000
14,41.03353368630682,40.66264505769042,40.90457636421542,57.0,0.2,365,10000
15,46.88357729358509,46.79991507603277,40.61734995315135,57.0,0.2,365,10000
16,45.65230344556682,45.607848695535715,40.57814248563013,57.0,0.2,365,10000
17,68.57638535306239,68.15186531401496,40.95820777464646,57.0,0.2,365,10000
18,39.78762432461677,39.72960080549715,40.59171125471864,57.0,0.2,365,10000
19,62.63524054109041,61.805438253690895,41.36349002299854,57.0,0.2,365,10000
20,40.069442439953825,39.640210266172346,40.962919909380496,57.0,0.2,365,10000
21,70.24619152719477,69.79672930964165,40.983149953152136,57.0,0.2,365,10000
22,38.593255261632876,38.52400862412056,40.60293437311134,57.0,0.2,365,10000
23,62.03788465242834,61.49078918675307,41.08078320127429,57.0,0.2,365,10000
24,39.27974755335433,39.17554128530077,40.6378940036526,57.0,0.2,365,10000
25,55.74017022123836,55.33531911715532,40.93853883968206,57.0,0.2,365,10000
26,43.95912914872365,43.69903731932856,40.79377956499412,57.0,0.2,365,10000
27,58.66963193017319,58.27959926735864,40.923720398413565,57.0,0.2,365,10000
28,49.66690064581238,49.21378789922703,40.986800482184385,57.0,0.2,365,10000
29,25.8359019910305,25.497679362294647,40.87191036433487,57.0,0.2,365,10000
30,37.45409726578394,37.38689957880017,40.6008854225828,57.0,0.2,365,10000
31,40.19540006303804,40.16027527362122,40.568812525015844,57.0,0.2,365,10000
32,48.8817727638194,48.736864403682844,40.67859609573558,57.0,0.2,365,10000
33,46.79946807795584,46.65133261170732,40.68182320184754,57.0,0.2,365,10000
34,58.65602459973759,58.034944856040184,41.15476747929643,57.0,0.2,365,10000
35,59.90261020698081,59.544193957866966,40.892103984712875,57.0,0.2,365,10000
