,Arithmetic,Geometric,Control,K,sigma,N,n
0,25.71639233543571,25.668659409978414,29.052468771599706,70.0,0.2,365,10000
1,36.742501984647504,36.03961630542491,29.707621525365013,70.0,0.2,365,10000
2,34.739590069198336,34.25477124566165,29.489554669679094,70.0,0.2,365,10000
3,26.63981913024536,26.33285080428143,29.311704172106342,70.0,0.2,365,10000
4,51.151468760204224,50.508607074863015,29.64759753148362,70.0,0.2,365,10000
5,35.783256042235664,35.274660186013634,29.51333170236444,70.0,0.2,365,10000
6,34.21028182957758,34.11595895673407,29.099058718985926,70.0,0.2,365,10000
7,17.67253635713365,17.517423547808768,29.159848655467297,70.0,0.2,365,10000
8,40.812827459663055,40.49877686717498,29.318786438630486,70.0,0.2,365,10000
9,40.2136219783864,39.81569826868627,29.402659555842547,70.0,0.2,365,10000
10,31.54446733439565,31.468012101638813,29.081191078899252,70.0,0.2,365,10000
11,28.278508407566765,27.972248817719205,29.310995435989973,70.0,0.2,365,10000
12,34.91552684999623,34.81813569200744,29.10212700413121,70.0,0.2,365,10000
13,36.46045111529818,36.32120367911484,29.14398328232575,70.0,0.2,365,10000
14,24.21323806192215,24.052960131956933,29.16501377610763,70.0,0.2,365,10000
15,21.05206886904561,20.963554690306694,29.093250024881325,70.0,0.2,365,10000
16,29.557822234272177,29.382167599343138,29.180390481071452,70.0,0.2,365,10000
17,21.90375738124082,21.52663734639471,29.38185588098852,70.0,0.2,365,10000
18,19.906875459423883,19.452444785440072,29.45916652012622,70.0,0.2,365,10000
19,34.76291076544149,34.59549316492498,29.172153446658925,70.0,0.2,365,10000
20,15.7929569203832,15.436581955873141,29.361110810652473,70.0,0.2,365,10000
21,31.874713477952692,31.793608510237934,29.08584081385717,70.0,0.2,365,10000
22,19.733974746145293,19.64491337733647,29.093797214951238,70.0,0.2,365,10000
23,38.69209794837243,38.59137447873484,29.105459315779992,70.0,0.2,365,10000
24,9.421523543851826,9.153169260715783,29.273090129278454,70.0,0.2,365,10000
25,29.716053033745325,29.555332945373763,29.16545593451397,70.0,0.2,365,10000
26,28.179947471877117,28.067477258694797,29.117206059324733,70.0,0.2,365,10000
27,57.933014154430495,57.48900695926148,29.448743041311424,70.0,0.2,365,10000
28,17.449853846104435,17.233227934051378,29.22136175819547,70.0,0.2,365,10000
29,35.385368510267924,34.969379922581226,29.420724433829108,70.0,0.2,365,10000
30,43.360534236018644,43.02847613032733,29.336793951833727,70.0,0.2,365,10000
31,39.81424367136046,39.660101245691465,29.15887827181141,70.0,0.2,365,10000
32,31.926241204613255,31.866803420065573,29.064173630690092,70.0,0.2,365,10000
33,53.878943573224724,53.23432579858759,29.649353620779547,70.0,0.2,365,10000
34,18.478006015691417,18.277367688823052,29.205374173010775,70.0,0.2,365,10000
35,25.166801706031308,25.082185192767252,29.08935235940647,70.0,0.2,365,10000
36,38.00439041464934,37.84923792588192,29.159888334909834,70.0,0.2,365,10000
37,0.0,0.0,29.004735846142413,70.0,0.2,365,10000
38,29.726270737908553,29.608866090871306,29.12214049317966,70.0,0.2,365,10000
39,18.382531796462107,18.09974666675109,29.287520975853425,70.0,0.2,365,10000
40,27.150446342798794,27.055284419106567,29.09989776983464,70.0,0.2,365,10000
41,44.26433497568276,43.950545607678606,29.318525214146565,70.0,0.2,365,10000
42,12.80428340043053,12.671982891985685,29.137036354587256,70.0,0.2,365,10000
43,13.967676525199417,13.765845354563032,29.2065670167788,70.0,0.2,365,10000
44,42.949651770121044,42.62620015623865,29.328187460024804,70.0,0.2,365,10000
45,32.95862941205183,32.80193377382119,29.161431484373054,70.0,0.2,365,10000
46,15.043981452452009,14.869280070864397,29.179437227730023,70.0,0.2,365,10000
47,32.58849569755114,32.48892294596275,29.104308597730803,70.0,0.2,365,10000
48,28.212853199807785,28.035160455804036,29.182428590146163,70.0,0.2,365,10000
49,13.994866487858921,13.697406322563,29.302196011438337,70.0,0.2,365,10000
50,19.753573056249525,19.39049538051102,29.36781352188092,70.0,0.2,365,10000
51,30.826458739645396,30.628021151865642,29.203173433922167,70.0,0.2,365,10000
52,23.695887425464704,23.446589675533758,29.254033596073356,70.0,0.2,365,10000
53,14.019069743999442,13.827706768888708,29.196098821253145,70.0,0.2,365,10000
54,23.26289780517269,23.04034892065693,29.227284730658173,70.0,0.2,365,10000
55,38.85189903045704,38.588133743632895,29.26850113296656,70.0,0.2,365,10000
56,45.19139744767435,44.51928614700304,29.676847146813724,70.0,0.2,365,10000
57,15.831909651939005,15.750202470175562,29.086443027905855,70.0,0.2,365,10000
58,25.531862018333054,24.91740063374802,29.619197230727448,70.0,0.2,365,10000
59,41.02533398386051,39.39509834663074,30.634971483372187,70.0,0.2,365,10000
60,48.7187877600414,48.5943960352591,29.129127570924712,70.0,0.2,365,10000
61,15.704403857624461,15.595447267313084,29.11369243645379,70.0,0.2,365,10000
62,20.8599204257669,20.71862057218441,29.14603569972491,70.0,0.2,365,10000
63,31.65826838666699,31.561472897707844,29.101531335101562,70.0,0.2,365,10000
64,35.996304130223734,35.88787912553813,29.113160850828024,70.0,0.2,365,10000
65,25.181503265659828,25.10000362296708,29.08623548883516,70.0,0.2,365,10000
66,33.74255774397144,33.63379539658846,29.11349819352539,70.0,0.2,365,10000
67,27.65296948655013,27.484040467635165,29.17366486505738,70.0,0.2,365,10000
68,30.193711737531196,29.983701182662568,29.214746401011038,70.0,0.2,365,10000
69,46.55057690424115,46.31185752756894,29.24345522281462,70.0,0.2,365,10000
70,41.0896095983507,40.769857560418664,29.32448788407445,70.0,0.2,365,10000
71,63.11776972022916,62.394863720477105,29.727641845894464,70.0,0.2,365,10000
72,40.34171101443579,40.05011102833744,29.296335832240764,70.0,0.2,365,10000
73,68.29683308534688,66.6752608223932,30.626308109096094,70.0,0.2,365,10000
74,20.7713231727138,20.269541966637387,29.50651705221883,70.0,0.2,365,10000
75,37.21257844449983,36.90739587983193,29.30991841081032,70.0,0.2,365,10000
76,13.167405584950332,12.586630837569295,29.585510593523452,70.0,0.2,365,10000
77,50.455242870919136,49.6520726124845,29.807906104577047,70.0,0.2,365,10000
78,33.49367471406309,33.281599017245135,29.216811542960368,70.0,0.2,365,10000
79,34.33537012029177,34.13817904190495,29.201926924529232,70.0,0.2,365,10000
80,46.395348995930874,46.04585236045965,29.354232481613646,70.0,0.2,365,10000
81,48.18450802383951,47.85276876420483,29.336475105777094,70.0,0.2,365,10000
82,18.20731994482087,18.121822070591893,29.09023372037139,70.0,0.2,365,10000
83,33.00356136013711,32.92079015572065,29.087507050558877,70.0,0.2,365,10000
84,27.647985354113818,27.55853407471944,29.094187125536788,70.0,0.2,365,10000
85,29.828280553250753,29.725169985685294,29.107846413707872,70.0,0.2,365,10000
86,42.536662598624474,41.24763337102262,30.293765073744265,70.0,0.2,365,10000
87,33.115281222427754,32.981377963131756,29.13863910543841,70.0,0.2,365,10000
88,21.04673410438805,20.97855467561556,29.072915274914905,70.0,0.2,365,10000
89,45.7474488885446,45.17944314177786,29.572741592909153,70.0,0.2,365,10000
90,29.7210747260643,29.376609983398335,29.349200588808376,70.0,0.2,365,10000
91,16.290443144101005,15.670313414562793,29.624865575680627,70.0,0.2,365,10000
92,16.671812891806226,16.434361796749066,29.242186941199574,70.0,0.2,365,10000
93,27.285818069817644,27.157991244910892,29.132562671049165,70.0,0.2,365,10000
94,25.143647110678987,24.423464745874334,29.724918210947067,70.0,0.2,365,10000
95,20.85801700807485,20.793709183951133,29.06904367026613,70.0,0.2,365,10000
96,23.039693180695032,22.947546554650483,29.096882472186962,70.0,0.2,365,10000
97,40.10420215854262,39.80086229808804,29.308075706596995,70.0,0.2,365,10000
98,36.599676493161155,36.35370834973835,29.250703989565217,70.0,0.2,365,10000
99,53.01658435117808,52.473193310068666,29.548126887251826,70.0,0.2,365,10000
100,10.64461566738812,10.351786922177636,29.297564591352895,70.0,0.2,365,10000
101,39.98362515823998,39.63813247697773,29.350228527404663,70.0,0.2,365,10000
102,39.874717624128714,38.719436257985464,30.160017212285666,70.0,0.2,365,10000
103,18.478120266220465,18.25148175332024,29.231374359042636,70.0,0.2,365,10000
104,17.982976707394208,17.838510291737833,29.149202261798784,70.0,0.2,365,10000
105,17.76895078346701,17.49313091535661,29.280555714252813,70.0,0.2,365,10000
106,52.77488467265215,51.30260300692455,30.477017511870013,70.0,0.2,365,10000
107,36.40675814552202,36.17507849869297,29.236415492971464,70.0,0.2,365,10000
108,23.759971364819293,23.604903951205088,29.159803259756615,70.0,0.2,365,10000
109,45.38505908087149,45.03073671707824,29.359058209935665,70.0,0.2,365,10000
110,36.72227446060112,36.529011565922175,29.19799874082136,70.0,0.2,365,10000
111,35.07041795782139,35.026406180128006,29.048747623835794,70.0,0.2,365,10000
112,15.098976260947238,14.32508113610967,29.77863097097998,70.0,0.2,365,10000
113,37.233427269152415,36.8180221855332,29.42014092976163,70.0,0.2,365,10000
114,26.419256031250104,26.180774198391664,29.243217679000853,70.0,0.2,365,10000
115,44.68711740490498,44.29616380307794,29.395689447969456,70.0,0.2,365,10000
116,21.423170468932973,21.371711108212402,29.056195206862984,70.0,0.2,365,10000
117,59.31735123565992,56.67569003554933,31.646397046253,70.0,0.2,365,10000
118,49.166278697952094,48.782192898538156,29.38882164555635,70.0,0.2,365,10000
119,42.57860042639858,42.205279823335395,29.37805644920559,70.0,0.2,365,10000
120,11.3622014033162,10.837649388634803,29.52928786082381,70.0,0.2,365,10000
121,42.245237784114416,41.99182136743744,29.258152262819387,70.0,0.2,365,10000
122,17.40993009744667,17.055115390630153,29.35955055295893,70.0,0.2,365,10000
123,40.82971735206551,40.512652070736884,29.321801127471037,70.0,0.2,365,10000
124,40.521599064143174,40.3845492231882,29.141785687097382,70.0,0.2,365,10000
125,20.439563762794574,20.345884874842238,29.098414734094746,70.0,0.2,365,10000
126,38.60452565343849,38.495758558828896,29.11350294075201,70.0,0.2,365,10000
127,24.204115765348355,24.146259487610887,29.06259212387988,70.0,0.2,365,10000
128,39.16557560399447,38.928506292517504,29.24180515761938,70.0,0.2,365,10000
129,24.910889663846458,24.66585180205059,29.249773707938285,70.0,0.2,365,10000
130,35.50954312340423,35.27941498680103,29.23486398274561,70.0,0.2,365,10000
131,36.01677608086136,35.8123254148133,29.209186512190474,70.0,0.2,365,10000
132,33.3872727412333,33.10183235253212,29.290176234843592,70.0,0.2,365,10000
133,40.02390359547796,39.787522459879426,29.241116981740944,70.0,0.2,365,10000
134,23.52504683492767,23.35971872507522,29.17006395599487,70.0,0.2,365,10000
135,20.634483255668513,20.37627939083585,29.262939710975076,70.0,0.2,365,10000
136,28.60079572610021,28.462322261786557,29.143209310456065,70.0,0.2,365,10000
137,56.31613671682822,55.264873439259276,30.055999123711356,70.0,0.2,365,10000
138,29.726918232453386,29.674215003699924,29.057439074895875,70.0,0.2,365,10000
