,Arithmetic,Geometric,Control,K,sigma,N
0,191.1923631459542,19.273069470704765,192.10382562558374,80.0,0.2,365
1,191.21593820473203,21.72152759424458,189.67894256082172,80.0,0.2,365
2,191.11443455510755,11.746401801421055,199.5525647040208,80.0,0.2,365
3,191.17920827763749,17.990557356528836,193.37318287144296,80.0,0.2,365
4,191.3093639951851,31.850622378217537,179.64327356730186,80.0,0.2,365
5,191.16165028924397,16.263065403949913,195.08311683562835,80.0,0.2,365
6,191.1849497389118,18.564458540596448,192.80502314864967,80.0,0.2,365
7,191.23405093622003,23.722340972679103,187.6962419138752,80.0,0.2,365
8,191.28056333893662,28.46440909151715,183.00068619775374,80.0,0.2,365
9,191.23244382075237,23.326974558471314,188.09000121261536,80.0,0.2,365
10,191.34902840801638,36.35995476263443,175.17360559571623,80.0,0.2,365
11,191.10943403886014,11.414413666454765,199.87955232273967,80.0,0.2,365
12,191.0261318943624,4.067887722695274,207.14277612200144,80.0,0.2,365
13,191.2925516154906,29.934881685761003,181.54220188006389,80.0,0.2,365
14,191.17095911106568,17.158745712442244,194.19674534895773,80.0,0.2,365
15,191.40667424197505,43.45544846155229,168.13575773075706,80.0,0.2,365
16,191.420726556295,45.258969415043666,166.34628909158562,80.0,0.2,365
17,191.29430258039855,30.20576775340794,181.2730667773249,80.0,0.2,365
18,191.13733257967178,13.79519274691163,197.52667178309443,80.0,0.2,365
19,191.28004738529873,28.68548703117971,182.77909230445331,80.0,0.2,365
20,190.9713705738042,0.0,211.1559025241385,80.0,0.2,365
21,191.23159019269957,23.458992434253528,187.95712970878034,80.0,0.2,365
22,191.36721229729065,38.68593104523605,172.8658132023889,80.0,0.2,365
23,191.30044113348123,30.793797850210044,180.6911752336055,80.0,0.2,365
24,191.20746669325544,20.723849332004953,190.66814931158476,80.0,0.2,365
25,191.38073516459698,40.16111122581132,171.40415588911995,80.0,0.2,365
26,191.2686334678834,27.22882513802765,184.22434028019003,80.0,0.2,365
27,191.0641225685548,7.182386875650039,204.06626764323906,80.0,0.2,365
28,191.1064253560639,10.988040951227502,200.30291635517068,80.0,0.2,365
29,191.25110774430235,25.37173416727084,186.0639055273658,80.0,0.2,365
30,191.13782003311516,14.076116302894345,197.24623568055512,80.0,0.2,365
31,191.15286067392475,15.451055630229643,195.88633699402942,80.0,0.2,365
32,190.9712198593899,0.0,211.1557518097242,80.0,0.2,365
33,190.91867062949385,0.0,211.10320257982815,80.0,0.2,365
34,191.223636319359,22.534988989595455,188.87317928009784,80.0,0.2,365
