,Arithmetic,Geometric,Control,K,sigma,N
0,209.9404401975265,29.927796864958534,217.88557205899195,60.0,0.2,365
1,210.07168087722533,42.556773783619015,205.38783582003032,60.0,0.2,365
2,209.9201021099533,27.9430707061217,219.8499601302556,60.0,0.2,365
3,210.28295758431088,67.5076799899978,180.64820632073707,60.0,0.2,365
4,210.11732227753626,47.48599905013162,200.50425195382863,60.0,0.2,365
5,210.00315833090036,35.82923899962867,212.04684805769568,60.0,0.2,365
6,210.00872356114166,36.34064614795851,211.54100613960713,60.0,0.2,365
7,209.94591085838823,30.359135679521398,217.4597039052908,60.0,0.2,365
8,209.948328402621,30.49551247657634,217.32574465246864,60.0,0.2,365
9,210.00321321109126,35.63855461986625,212.237587317649,60.0,0.2,365
10,210.0489237524941,40.436896382025004,207.4849560968931,60.0,0.2,365
11,210.0415055490501,39.69841209452565,208.2160221809484,60.0,0.2,365
12,209.9545129954354,31.196912282807855,216.63052943905154,60.0,0.2,365
13,210.18815075672393,55.79424654486784,192.2668329382801,60.0,0.2,365
14,210.22040951722482,59.61027909630725,188.48305914734155,60.0,0.2,365
15,210.0169567098797,37.0566830195513,210.8332024167524,60.0,0.2,365
16,210.08672516537172,44.234689283241636,203.72496460855407,60.0,0.2,365
17,210.03765641649042,39.330582487262625,208.58000265565178,60.0,0.2,365
18,210.04832451970762,40.163963171355576,207.75729007477602,60.0,0.2,365
19,210.1480127355391,51.09464025410329,196.9263012078598,60.0,0.2,365
20,210.0545211837328,40.99461223244541,206.93283767771135,60.0,0.2,365
21,209.93357962397167,29.154435205556368,218.65207314483928,60.0,0.2,365
22,210.15795926166842,52.24084523954555,195.79004274854682,60.0,0.2,365
23,210.09446368651928,45.150356155749186,202.81703625719408,60.0,0.2,365
24,209.91276515129647,27.268279115445093,220.51741476227534,60.0,0.2,365
25,210.02456198494835,37.8848933128086,210.01259739856374,60.0,0.2,365
26,210.05980936047374,41.35723563152137,206.57550245537635,60.0,0.2,365
27,210.1985160064028,57.0389592433028,191.032485489524,60.0,0.2,365
28,210.12800711946744,48.904885269025826,199.09605057686557,60.0,0.2,365
29,209.9790609044605,33.46100171173592,214.39098791914859,60.0,0.2,365
30,210.16396243691145,52.93849581033615,195.09839535299926,60.0,0.2,365
31,210.07356154472478,42.771091990405424,205.17539828074334,60.0,0.2,365
32,210.07633084849292,43.13538874842807,204.81387082648882,60.0,0.2,365
33,210.11193555784743,46.9766862422774,201.00817804199403,60.0,0.2,365
34,209.97135565205784,32.73591842699813,215.10836595148368,60.0,0.2,365
35,210.05892946477564,41.338548127890604,206.59331006330902,60.0,0.2,365
36,209.91171602480367,27.248130510170775,220.53651424105686,60.0,0.2,365
37,209.91578416920078,27.66900033972207,220.11971255590268,60.0,0.2,365
38,210.15559327562497,51.86008340539844,196.1684385966505,60.0,0.2,365
39,210.04463688421131,39.848679244972345,208.06888636566296,60.0,0.2,365
40,210.07106829999296,42.59869172920188,205.34530529721508,60.0,0.2,365
41,210.08156571323906,43.864194809487934,204.0902996301751,60.0,0.2,365
42,210.07098169392387,42.81802678687128,205.12588363347658,60.0,0.2,365
43,210.0179445388509,37.27842743864256,210.61244582663232,60.0,0.2,365
44,209.83716065069902,20.7890907935133,226.9209985836097,60.0,0.2,365
45,210.19092647023777,56.17567074834901,191.88818444831276,60.0,0.2,365
46,210.15031469670848,51.31326980038416,196.7099736227483,60.0,0.2,365
47,210.2439116071254,62.552462303896554,185.5643780296528,60.0,0.2,365
48,210.1119986301844,47.08246192855814,200.90246542805022,60.0,0.2,365
49,210.06134134821448,41.489260407808345,206.44500966683015,60.0,0.2,365
