,Arithmetic,Geometric,Control,K,sigma,N,n
0,26.909425248357028,26.83615214012966,37.05928408188923,61.0,0.2,365,10000
1,71.99255983987925,71.41699995011868,37.56157086342242,61.0,0.2,365,10000
2,33.78804501335428,33.720734111042205,37.053321875973936,61.0,0.2,365,10000
3,19.278988134949834,18.997857436907918,37.26714167170377,61.0,0.2,365,10000
4,55.27001968647436,54.64258303303114,37.61344762710509,61.0,0.2,365,10000
5,30.820214694307154,30.691104029668477,37.115121638300536,61.0,0.2,365,10000
6,25.907552236635027,25.767766226490256,37.12579698380663,61.0,0.2,365,10000
7,47.88786877202243,47.22827101715077,37.64560872853351,61.0,0.2,365,10000
8,24.492570683512714,23.50098851556199,37.97759314161257,61.0,0.2,365,10000
9,30.86069470909845,30.685872608569543,37.16083307419077,61.0,0.2,365,10000
10,40.26373183846607,40.14873354808824,37.101009264039696,61.0,0.2,365,10000
11,38.56696991463755,38.29730058456209,37.25568030373732,61.0,0.2,365,10000
12,58.258633856166426,57.84940187369373,37.39524295613455,61.0,0.2,365,10000
13,31.869096803474054,31.492745155388686,37.36236262174723,61.0,0.2,365,10000
14,36.21355768126422,36.012711756668395,37.18685689825767,61.0,0.2,365,10000
15,40.212640087074256,39.6235652101047,37.57508585063142,61.0,0.2,365,10000
16,31.154857485470888,31.06743223596613,37.07343622316662,61.0,0.2,365,10000
17,43.50649899579528,43.320993837433356,37.17151613202378,61.0,0.2,365,10000
18,24.43875285082369,24.104709506381692,37.32005431810384,61.0,0.2,365,10000
19,41.06774276080761,40.91057487710091,37.143178857368554,61.0,0.2,365,10000
20,23.61387630639005,22.60444333543085,37.99544394462106,61.0,0.2,365,10000
21,51.56820902363255,51.29734030098652,37.256879696307884,61.0,0.2,365,10000
22,37.08657630084388,36.512151830597766,37.56043544390798,61.0,0.2,365,10000
23,39.34999537592811,39.265639324987944,37.07036702460203,61.0,0.2,365,10000
24,21.359763960210792,20.732444194885407,37.61333073898724,61.0,0.2,365,10000
25,27.83925750124453,27.535001478958076,37.29026699594831,61.0,0.2,365,10000
26,38.858660161055596,38.720606482540504,37.12406465217694,61.0,0.2,365,10000
27,47.35958485993063,47.27701801787587,37.06857781571661,61.0,0.2,365,10000
28,45.952534668447214,45.66625984805856,37.27228579405051,61.0,0.2,365,10000
29,50.04240825874252,49.855159450884514,37.17325978151987,61.0,0.2,365,10000
30,42.20779041371945,41.80436821295808,37.38943317442323,61.0,0.2,365,10000
31,68.27087382718507,66.61648015931385,38.64040464153307,61.0,0.2,365,10000
32,54.89936092724038,54.56628659269028,37.31908530821194,61.0,0.2,365,10000
33,36.858659537907116,36.6843106020424,37.16035990952657,61.0,0.2,365,10000
34,27.11824696871827,26.394975513714744,37.709282428665375,61.0,0.2,365,10000
35,37.06721112178762,36.79065930977627,37.262562785673204,61.0,0.2,365,10000
36,28.331871731825466,27.845129614300827,37.47275309118648,61.0,0.2,365,10000
37,50.22065099701121,49.530280321617596,37.67638164905547,61.0,0.2,365,10000
38,52.09459404805986,51.67942803578219,37.401176985939514,61.0,0.2,365,10000
39,43.273692419889386,43.15819333374779,37.10151005980346,61.0,0.2,365,10000
40,37.86806724429041,37.55292462186034,37.30115359609193,61.0,0.2,365,10000
41,49.2862169955146,49.02324962977849,37.24897833939797,61.0,0.2,365,10000
42,41.369663079442326,41.006079992864144,37.34959406024003,61.0,0.2,365,10000
43,28.657367165091006,28.4708846082074,37.17249353054545,61.0,0.2,365,10000
44,41.35181453234915,41.157910741745354,37.17991476426566,61.0,0.2,365,10000
45,35.11434701467391,34.74816784308434,37.35219014525142,61.0,0.2,365,10000
46,25.170269161452136,24.931487887321126,37.22479224779286,61.0,0.2,365,10000
47,39.0366123538186,38.876179091772656,37.14644423570779,61.0,0.2,365,10000
48,22.15141048130169,21.947221500632313,37.19019995433123,61.0,0.2,365,10000
49,45.49271961406238,45.31453876865201,37.16419181907222,61.0,0.2,365,10000
50,33.94195987811058,33.16167880368642,37.76629204808602,61.0,0.2,365,10000
51,27.809097204090108,27.38379024336467,37.4113179343873,61.0,0.2,365,10000
52,25.578614084940078,25.20927846720974,37.35534659139219,61.0,0.2,365,10000
53,43.751903187993896,43.46432868146269,37.273585480193056,61.0,0.2,365,10000
54,55.952870847227864,54.87870970331332,38.0601721175764,61.0,0.2,365,10000
55,50.93994333527028,50.683105251304426,37.2428490576277,61.0,0.2,365,10000
56,39.70167407732288,39.62057851886246,37.067106532122274,61.0,0.2,365,10000
57,30.10033106531753,29.939774480996896,37.14656755798248,61.0,0.2,365,10000
58,37.91800601945412,37.64834839096196,37.25566860215402,61.0,0.2,365,10000
59,37.391533209890525,37.15715979309639,37.220384390456,61.0,0.2,365,10000
60,28.218207843579428,28.09306709709244,37.11115172014883,61.0,0.2,365,10000
61,31.588599534693486,31.436583829449567,37.13802667890577,61.0,0.2,365,10000
62,24.824810452343776,24.667086204125265,37.143735221880355,61.0,0.2,365,10000
63,34.11594140238118,34.0275054607733,37.07444691526974,61.0,0.2,365,10000
64,26.90905632956826,26.794737875962017,37.1003294272681,61.0,0.2,365,10000
65,39.77111128690422,39.611913780331314,37.14520848023477,61.0,0.2,365,10000
66,50.50891163707561,50.03922471341836,37.4556978973191,61.0,0.2,365,10000
67,23.507323272570286,23.221213274924953,37.272120971307196,61.0,0.2,365,10000
68,43.79813391362154,43.577540267321766,37.20660461996164,61.0,0.2,365,10000
69,43.079025671790184,43.00665700281898,37.05837964263305,61.0,0.2,365,10000
70,48.93477986081337,48.607286135402134,37.313504699073086,61.0,0.2,365,10000
71,42.301345634982006,42.240008458163246,37.04734815048061,61.0,0.2,365,10000
72,23.813122553492075,23.681220767095922,37.11791276005801,61.0,0.2,365,10000
73,48.72741073228688,48.336955457277405,37.37646624867131,61.0,0.2,365,10000
74,18.627701443533304,18.373986775876393,37.23972564131876,61.0,0.2,365,10000
75,44.31003901981033,43.710929130629566,37.585120862842615,61.0,0.2,365,10000
76,57.49222913381561,56.62465049016986,37.853589617307605,61.0,0.2,365,10000
77,62.515322215554995,61.420140741140706,38.081192448076145,61.0,0.2,365,10000
78,39.549892398307605,39.424097137076004,37.111806234893464,61.0,0.2,365,10000
79,17.509302851436654,17.053295331648695,37.442018493449815,61.0,0.2,365,10000
80,40.99963917262138,40.952376019761864,37.03327412652137,61.0,0.2,365,10000
81,44.115074453318805,43.418475504091155,37.682609922889505,61.0,0.2,365,10000
82,55.10989301685884,54.716607089607585,37.3792969009131,61.0,0.2,365,10000
83,63.00236685468717,62.17614526907155,37.81223255927748,61.0,0.2,365,10000
84,59.120243869015525,58.504042464273006,37.60221237840436,61.0,0.2,365,10000
85,34.420497624136694,34.30140410219793,37.10510449560062,61.0,0.2,365,10000
86,31.546419038127407,31.463288904250465,37.06914110753879,61.0,0.2,365,10000
87,34.94341533620291,34.8421404971886,37.08728581267615,61.0,0.2,365,10000
88,47.016413020605974,46.79278875463218,37.20963523963564,61.0,0.2,365,10000
89,39.80923151245906,39.246278018388224,37.548964467732695,61.0,0.2,365,10000
90,47.18996045533434,46.67552879384948,37.500442635146705,61.0,0.2,365,10000
91,56.47535838281156,56.21383966317652,37.247529693296876,61.0,0.2,365,10000
92,55.43821182574134,54.68584605802166,37.73837674138153,61.0,0.2,365,10000
93,44.17661941961199,44.07103321090526,37.09159718236859,61.0,0.2,365,10000
94,45.41835092903971,45.17464192989311,37.22971997280845,61.0,0.2,365,10000
95,57.08584319221554,56.28009518638931,37.79175897948809,61.0,0.2,365,10000
96,49.46222339630948,48.88927716784776,37.55895720212359,61.0,0.2,365,10000
97,52.458241075729404,51.879734877262045,37.56451717212921,61.0,0.2,365,10000
98,28.191117916766686,27.92430738433664,37.252821506091905,61.0,0.2,365,10000
99,46.820412604153496,46.68769413049861,37.11872944731673,61.0,0.2,365,10000
100,43.49170066244065,42.815360274434774,37.66235136166772,61.0,0.2,365,10000
101,43.010974772909215,42.896162242537216,37.10082350403385,61.0,0.2,365,10000
102,31.458230952487458,31.412555522155518,37.0316864039938,61.0,0.2,365,10000
103,47.01044621533098,46.86292791599753,37.13352927299531,61.0,0.2,365,10000
104,27.19699180955192,26.985304719747514,37.197698063466255,61.0,0.2,365,10000
105,28.021712162683915,27.974854162173052,37.03286897417272,61.0,0.2,365,10000
106,27.344887115971552,27.270367691095664,37.060530398537736,61.0,0.2,365,10000
107,55.458896319440264,54.88226166135338,37.562645631748744,61.0,0.2,365,10000
108,58.31911633003971,57.76854605306721,37.53658125063436,61.0,0.2,365,10000
109,37.87305433260887,37.7698359743273,37.08922933194342,61.0,0.2,365,10000
110,29.87545240658619,29.798475091234607,37.06298828901345,61.0,0.2,365,10000
111,30.058017503709216,29.742444150731025,37.301584326640054,61.0,0.2,365,10000
112,41.04835153328032,40.960541118773534,37.073821388168646,61.0,0.2,365,10000
113,22.635350104737764,22.029400763730003,37.59196031466961,61.0,0.2,365,10000
114,59.174310438447336,58.074689378176,38.085632033933194,61.0,0.2,365,10000
115,34.58409433980234,34.45394509336506,37.11616022009914,61.0,0.2,365,10000
116,43.36773031264394,42.9772850706056,37.37645621570019,61.0,0.2,365,10000
117,29.489311888128036,29.391979056287223,37.08334380550266,61.0,0.2,365,10000
118,44.184880680910936,44.00586627262014,37.16502538195266,61.0,0.2,365,10000
119,30.445627982643146,30.32291443592039,37.108724520384605,61.0,0.2,365,10000
120,44.22506998194373,44.03185714799048,37.1792238076151,61.0,0.2,365,10000
