,Arithmetic,Geometric,Control,K,sigma,N,n
0,34.287998865061816,34.08837311086934,39.8463933585368,58.0,0.2,365,10000
1,53.841908838922215,53.232572910135815,40.25610353313073,58.0,0.2,365,10000
2,48.87170604925141,48.70448844922092,39.813985204374816,58.0,0.2,365,10000
3,27.09395497567263,26.84564906768104,39.89507351233592,58.0,0.2,365,10000
4,58.021297744667024,57.502415075242986,40.165650273768364,58.0,0.2,365,10000
5,51.198775340861765,50.641250914597485,40.204292030608606,58.0,0.2,365,10000
6,44.06852840027517,43.92186755167562,39.79342845294388,58.0,0.2,365,10000
7,33.92504860436139,33.85873444443421,39.71308176427151,58.0,0.2,365,10000
8,40.29421375373637,40.117520437791605,39.823460920289094,58.0,0.2,365,10000
9,58.689861550182314,58.3115378528039,40.025091301722746,58.0,0.2,365,10000
10,30.18147344875767,29.995161146255235,39.83307990684676,58.0,0.2,365,10000
11,44.54364653263859,44.14923222035205,40.04118191663087,58.0,0.2,365,10000
12,39.690728100665666,39.45323261111477,39.88426309389522,58.0,0.2,365,10000
13,30.352868305929814,29.835484893676373,40.16415101659777,58.0,0.2,365,10000
14,38.13039194444015,37.97516218915255,39.801997359631926,58.0,0.2,365,10000
15,31.92679223508479,31.76029504217788,39.813264797251236,58.0,0.2,365,10000
16,40.967902395471384,40.77215008827455,39.84251991154116,58.0,0.2,365,10000
17,49.94815101415594,49.61440532113857,39.980513297361696,58.0,0.2,365,10000
18,51.98262605306594,51.76716690651142,39.86222675089885,58.0,0.2,365,10000
19,36.92609088017867,36.81786517063862,39.75499331388438,58.0,0.2,365,10000
20,59.243356586648964,58.41149028556019,40.47863390543311,58.0,0.2,365,10000
21,33.591007771464895,33.47911434975696,39.75866102605226,58.0,0.2,365,10000
22,43.697436827093256,43.4622832301157,39.88192120132188,58.0,0.2,365,10000
23,36.05646401869794,35.75341958241908,39.94981204062319,58.0,0.2,365,10000
24,50.203621569943195,49.81502361043679,40.03536556385073,58.0,0.2,365,10000
25,60.247667363893385,59.68783082860066,40.20660413963706,58.0,0.2,365,10000
26,30.753790865130057,30.494095056417525,39.906463413056855,58.0,0.2,365,10000
27,26.232841423407553,25.892432055982997,39.98717697176888,58.0,0.2,365,10000
28,51.37607386334501,51.191776907277614,39.83106456041173,58.0,0.2,365,10000
29,37.8294841206443,37.771210406923224,39.705041318065405,58.0,0.2,365,10000
30,38.184777073187036,38.12824591801712,39.70329875951424,58.0,0.2,365,10000
31,40.17828753626488,39.85758087640445,39.96747426420476,58.0,0.2,365,10000
32,47.68146535668203,47.48215674801902,39.846076213007336,58.0,0.2,365,10000
33,20.808939782153328,20.37473686421116,40.08097052228649,58.0,0.2,365,10000
34,58.57689839222678,58.11213847813569,40.111527518435416,58.0,0.2,365,10000
35,56.50717374261723,55.207012267540364,40.946929079421196,58.0,0.2,365,10000
36,40.241805781737625,40.014025586909966,39.874547799171985,58.0,0.2,365,10000
37,59.71335559999463,58.74068180863617,40.619441395702786,58.0,0.2,365,10000
38,47.540354794902754,47.32391198093677,39.86321041831031,58.0,0.2,365,10000
39,45.76999376032475,45.57626879054419,39.84049257412489,58.0,0.2,365,10000
40,38.73504887740943,38.544410072797554,39.837406408956205,58.0,0.2,365,10000
41,30.343342295899944,30.18800266470453,39.802107235539744,58.0,0.2,365,10000
42,25.27462960300076,24.73390253805318,40.18749466929191,58.0,0.2,365,10000
43,59.7290287247642,59.56149797611026,39.814298352998264,58.0,0.2,365,10000
44,38.70237914222875,38.22260406725972,40.12654267931335,58.0,0.2,365,10000
45,40.69487544587803,40.45093662065177,39.89070642957059,58.0,0.2,365,10000
46,24.452923045895094,24.104800340176766,39.99489031006266,58.0,0.2,365,10000
47,57.09641230681374,56.63096917456247,40.1122107365956,58.0,0.2,365,10000
48,30.219410073174977,30.08322277333798,39.782954904181324,58.0,0.2,365,10000
49,55.898158402605375,55.24791232846889,40.29701367848081,58.0,0.2,365,10000
50,60.75648687843561,59.2873901664647,41.11586431631524,58.0,0.2,365,10000
51,23.985174242024925,23.745665960395915,39.88627588597334,58.0,0.2,365,10000
52,45.133465467052034,45.03833955504998,39.74189351634638,58.0,0.2,365,10000
53,19.977312596996104,19.642057695251285,39.982022506089145,58.0,0.2,365,10000
54,40.40179231246424,40.29644775776479,39.752112159043776,58.0,0.2,365,10000
55,45.80944816671819,45.581665100549735,39.87455067051278,58.0,0.2,365,10000
56,34.686490707885014,34.55927051604088,39.773987796188464,58.0,0.2,365,10000
57,38.34433529398627,37.809807199939456,40.18129569839114,58.0,0.2,365,10000
58,25.10726082566595,24.94349900127441,39.81052942873587,58.0,0.2,365,10000
59,26.38350400546717,26.19377068488691,39.836500924924586,58.0,0.2,365,10000
60,53.33874803519455,52.679127607276534,40.30638803226234,58.0,0.2,365,10000
61,46.52466772764292,46.40355047464305,39.7678848573442,58.0,0.2,365,10000
62,39.369417804673134,39.08286912073382,39.93331628828364,58.0,0.2,365,10000
63,60.95760606342034,59.97280857365213,40.63156509411254,58.0,0.2,365,10000
64,40.36337022149731,40.20916547080705,39.80097235503458,58.0,0.2,365,10000
65,22.81521367603507,22.622740608250172,39.83924067212923,58.0,0.2,365,10000
66,19.109398615005034,18.796543997268742,39.95962222208062,58.0,0.2,365,10000
67,42.15856054423994,42.09010864424985,39.715219504334414,58.0,0.2,365,10000
68,47.38137270166464,47.0287020019823,39.99943830402666,58.0,0.2,365,10000
69,35.61079746829132,35.454393019411974,39.80317205322367,58.0,0.2,365,10000
70,58.8427723402224,56.95013348573842,41.53940645882831,58.0,0.2,365,10000
71,33.97031600711405,33.87827803583911,39.738805575619274,58.0,0.2,365,10000
72,25.31657885760256,24.977161731721967,39.98618473022492,58.0,0.2,365,10000
73,24.810622956842373,24.205108885171942,40.25228167601476,58.0,0.2,365,10000
74,37.85356585147329,37.72225471825794,39.778078737559674,58.0,0.2,365,10000
75,50.41454742262352,50.25394353315914,39.80737149380871,58.0,0.2,365,10000
76,32.397920204487484,32.08639351341779,39.95829429541402,58.0,0.2,365,10000
77,61.23381093481918,60.00493734124721,40.8756411979163,58.0,0.2,365,10000
78,69.65547367214596,68.73486535446989,40.567375922020396,58.0,0.2,365,10000
79,41.07689132709861,40.7729772494866,39.95068168195633,58.0,0.2,365,10000
80,74.69236465033937,73.7743595483553,40.56477270632839,58.0,0.2,365,10000
81,45.29456214887911,45.24977538121966,39.69155437200378,58.0,0.2,365,10000
82,32.41754798108186,32.26670103295479,39.797614552471394,58.0,0.2,365,10000
83,42.74937575209005,42.66997620755369,39.72616714888069,58.0,0.2,365,10000
84,31.75747954704498,31.506877258167215,39.89736989322209,58.0,0.2,365,10000
85,46.002772988648225,45.90916875129674,39.740371841695804,58.0,0.2,365,10000
86,43.73417947534258,43.66242338719116,39.718523692495744,58.0,0.2,365,10000
87,43.10396331881188,43.04860753028721,39.702123392869,58.0,0.2,365,10000
88,25.27632404211765,24.905679128192766,40.01741251826921,58.0,0.2,365,10000
89,51.5503672818006,50.83625089488706,40.360883991257865,58.0,0.2,365,10000
90,40.89025476285949,40.65056394635275,39.88645842085107,58.0,0.2,365,10000
91,46.54038804556562,46.21503802898605,39.972117620923896,58.0,0.2,365,10000
92,56.58349386113958,55.84889552661993,40.38136593886398,58.0,0.2,365,10000
93,31.12760533943391,31.000530352927925,39.77384259085031,58.0,0.2,365,10000
94,76.48956994701383,75.4340300378623,40.70230751349586,58.0,0.2,365,10000
95,40.61520816474703,40.386778783576204,39.87519698551515,58.0,0.2,365,10000
96,23.329237061881294,22.982143375209226,39.993861291016394,58.0,0.2,365,10000
97,44.39697035672605,44.102759026925284,39.9409789341451,58.0,0.2,365,10000
98,26.454264482021188,26.392906960218692,39.708125126146825,58.0,0.2,365,10000
99,24.581769835612903,24.261287542651267,39.96724989730596,58.0,0.2,365,10000
100,36.65390013124818,36.319106533042294,39.98156120255021,58.0,0.2,365,10000
101,52.05652185779671,51.769764063989086,39.93352539815195,58.0,0.2,365,10000
102,39.78491068793989,39.66427341720507,39.76740487507915,58.0,0.2,365,10000
103,54.03729341154158,53.483531706608076,40.20052930927784,58.0,0.2,365,10000
104,38.10958438337451,37.93877202660444,39.8175799611144,58.0,0.2,365,10000
105,38.71030034775971,38.669618119439555,39.687449832664484,58.0,0.2,365,10000
106,53.64942566965927,53.2996136059998,39.9965796680038,58.0,0.2,365,10000
107,26.892307466459968,26.55730889012133,39.98176618068297,58.0,0.2,365,10000
108,32.017150843548336,31.91897700477862,39.744941443114044,58.0,0.2,365,10000
109,66.98615542456277,65.86922271144721,40.76370031745988,58.0,0.2,365,10000
110,46.99710887594464,46.712884796713496,39.93099168357547,58.0,0.2,365,10000
111,39.7055334454617,39.44332536904853,39.90897568075749,58.0,0.2,365,10000
112,22.5577556390202,22.372165626142586,39.832357617221945,58.0,0.2,365,10000
113,29.57514107091433,29.51596640206869,39.70594227318997,58.0,0.2,365,10000
114,39.02485026586769,38.96780342343023,39.703814446781784,58.0,0.2,365,10000
