,Arithmetic,Geometric,Control,K,sigma,N,n
0,0.0,0.0,16.569791792919997,99,0.9,365,10000
1,0.0,0.0,16.569791792919997,99,0.9,365,10000
2,0.0,0.0,16.569791792919997,99,0.9,365,10000
3,40.635345137981524,38.037058174828,19.168078756073527,99,0.9,365,10000
4,106.61985638150418,98.66503649931141,24.52461167511276,99,0.9,365,10000
5,35.14160960488863,31.78157175768881,19.929829640119817,99,0.9,365,10000
6,5.018530229479289,0.0,21.588322022399286,99,0.9,365,10000
7,0.0,0.0,16.569791792919997,99,0.9,365,10000
8,43.24138774083059,36.156841255819415,23.65433827793117,99,0.9,365,10000
9,34.88909918468714,31.774050563622726,19.68484041398441,99,0.9,365,10000
10,0.0,0.0,16.569791792919997,99,0.9,365,10000
11,0.0,0.0,16.569791792919997,99,0.9,365,10000
12,0.0,0.0,16.569791792919997,99,0.9,365,10000
13,0.0,0.0,16.569791792919997,99,0.9,365,10000
14,0.0,0.0,16.569791792919997,99,0.9,365,10000
15,66.45154605167943,49.90297599990655,33.11836184469287,99,0.9,365,10000
16,18.604539716375882,7.017940121635986,28.15639138765989,99,0.9,365,10000
17,0.0,0.0,16.569791792919997,99,0.9,365,10000
18,36.131963944849154,26.696122127982342,26.005633609786805,99,0.9,365,10000
19,0.0,0.0,16.569791792919997,99,0.9,365,10000
20,442.70675581882176,288.7858543433765,170.49069326836525,99,0.9,365,10000
21,0.0,0.0,16.569791792919997,99,0.9,365,10000
22,0.0,0.0,16.569791792919997,99,0.9,365,10000
23,0.0,0.0,16.569791792919997,99,0.9,365,10000
24,0.0,0.0,16.569791792919997,99,0.9,365,10000
25,0.0,0.0,16.569791792919997,99,0.9,365,10000
26,71.82733120505588,62.17358080172755,26.22354219624832,99,0.9,365,10000
27,0.0,0.0,16.569791792919997,99,0.9,365,10000
28,0.0,0.0,16.569791792919997,99,0.9,365,10000
29,0.0,0.0,16.569791792919997,99,0.9,365,10000
30,0.0,0.0,16.569791792919997,99,0.9,365,10000
31,0.0,0.0,16.569791792919997,99,0.9,365,10000
32,1.0061066249627553,0.0,17.57589841788275,99,0.9,365,10000
33,0.0,0.0,16.569791792919997,99,0.9,365,10000
34,0.0,0.0,16.569791792919997,99,0.9,365,10000
35,0.0,0.0,16.569791792919997,99,0.9,365,10000
36,0.0,0.0,16.569791792919997,99,0.9,365,10000
37,11.800696930894459,8.482841496739892,19.88764722707456,99,0.9,365,10000
38,35.76660254107165,28.76506922390804,23.571325110083606,99,0.9,365,10000
39,1.882052909794925,0.0,18.451844702714922,99,0.9,365,10000
40,3.9461220244659754,0.0,20.51591381738597,99,0.9,365,10000
41,0.0,0.0,16.569791792919997,99,0.9,365,10000
42,0.0,0.0,16.569791792919997,99,0.9,365,10000
43,0.0,0.0,16.569791792919997,99,0.9,365,10000
44,0.0,0.0,16.569791792919997,99,0.9,365,10000
45,0.0,0.0,16.569791792919997,99,0.9,365,10000
46,12.034581840141348,8.504481730827566,20.09989190223378,99,0.9,365,10000
47,4.812041639586558,2.1740872655927834,19.20774616691377,99,0.9,365,10000
48,0.0,0.0,16.569791792919997,99,0.9,365,10000
49,22.515032019753132,21.04836893507257,18.036454877600555,99,0.9,365,10000
50,30.724558883719954,25.326205991947987,21.96814468469196,99,0.9,365,10000
51,0.0,0.0,16.569791792919997,99,0.9,365,10000
52,0.0,0.0,16.569791792919997,99,0.9,365,10000
53,15.451987235897072,6.739312157222348,25.28246687159472,99,0.9,365,10000
54,0.0,0.0,16.569791792919997,99,0.9,365,10000
55,79.43308770729627,65.82387863881287,30.179000861403395,99,0.9,365,10000
56,9.885653267279164,6.400621412306379,20.05482364789278,99,0.9,365,10000
57,0.0,0.0,16.569791792919997,99,0.9,365,10000
58,7.384732665673803,5.922331049879361,18.032193408714438,99,0.9,365,10000
59,0.0,0.0,16.569791792919997,99,0.9,365,10000
60,0.0,0.0,16.569791792919997,99,0.9,365,10000
