,Samples,0.001,0.01,0.1
0,10,"[0.0, -1.0]","[0.0, -1.0]","[0.0, -1.0]"
1,100,"[0.0, -1.0]","[0.0, -1.0]","[0.0, -1.0]"
2,1000,"[0.0, -1.0]","[0.0, -1.0]","[0.0, -1.0]"
