,Values,Simulation
0,22.456337712986212,100000
1,0.0,100000
2,20.07123022195286,100000
3,13.517081344442943,100000
4,0.0,100000
5,8.011969129364076,100000
6,22.43764148726318,100000
7,9.677268991425748,100000
8,3.517393070590657,100000
9,34.16961147557993,100000
10,0.0,100000
11,14.758578669172465,100000
12,0.0,100000
13,0.0,100000
14,38.9967074515755,100000
15,12.563396715908326,100000
16,0.0,100000
17,0.0,100000
18,3.7653151764586,100000
19,0.0,100000
20,22.008863200936503,100000
21,0.0,100000
22,14.231200016847566,100000
23,21.335934284225857,100000
24,8.255293633458834,100000
25,4.945220306150972,100000
26,0.0,100000
27,6.501040389818215,100000
28,0.0,100000
29,2.380630400443863,100000
30,3.7022522621358434,100000
31,8.835803376375438,100000
32,0.38753556870753414,100000
33,0.0,100000
34,30.819334474408265,100000
35,3.1001937412577973,100000
36,0.9784276896600943,100000
37,11.441305667527786,100000
38,0.0,100000
39,20.67611351324102,100000
40,0.0,100000
41,5.61745143234144,100000
42,19.999219211670678,100000
43,0.0,100000
44,9.622531566190148,100000
45,8.22409810687202,100000
46,10.28794895427464,100000
47,8.47839804015291,100000
48,0.0,100000
49,6.039635756566767,100000
50,3.0091693204806518,100000
51,0.0,100000
52,12.063232958305903,100000
53,0.0,100000
54,3.9896458551575904,100000
55,6.875924884674205,100000
56,36.78669980092485,100000
57,13.439095055584517,100000
58,0.0,100000
59,5.948050010400067,100000
60,5.456078667091248,100000
61,7.251697404960765,100000
62,16.341997587016593,100000
63,18.996917178486513,100000
64,0.0,100000
65,0.0,100000
66,0.0,100000
67,7.8781216959904725,100000
68,16.571744364540393,100000
69,0.0,100000
70,0.0,100000
71,0.0,100000
72,5.539212053060311,100000
73,0.0,100000
74,16.871528807303278,100000
75,19.523516196832503,100000
76,12.802550254208981,100000
77,10.448831395966096,100000
78,8.188934860532399,100000
79,5.699711432988465,100000
80,18.923448641580023,100000
81,14.03868282920918,100000
82,0.0,100000
83,0.0,100000
84,0.0,100000
85,1.2213965668624809,100000
86,31.720703100544597,100000
87,11.640178126658384,100000
88,0.0,100000
89,0.0,100000
90,19.98628725373709,100000
91,0.0,100000
92,19.88907154533362,100000
93,8.89668012629275,100000
94,2.527673445382163,100000
95,0.0,100000
96,0.0,100000
97,0.0,100000
98,0.0,100000
99,0.0,100000
100,16.63536428188513,100000
101,24.445137684076002,100000
102,1.8490524039903136,100000
103,18.579276568272746,100000
104,0.0,100000
105,37.46380598173033,100000
106,0.0,100000
107,0.0,100000
108,24.819764439998735,100000
109,7.568766845653471,100000
110,0.0,100000
111,0.600681147975834,100000
112,5.199434342992575,100000
113,0.7938128135618712,100000
114,0.0,100000
115,0.0,100000
116,0.0,100000
117,0.0,100000
118,16.819836428831863,100000
119,0.0,100000
120,15.608978599082704,100000
121,0.0,100000
122,0.268436162867701,100000
123,0.0,100000
124,0.0,100000
125,20.49389920698401,100000
126,0.0,100000
127,0.0,100000
128,0.0,100000
129,32.91330089667687,100000
130,0.0,100000
131,35.103886463564635,100000
132,9.560016971905782,100000
133,0.0,100000
134,0.0,100000
135,0.0,100000
136,0.9498752859357467,100000
137,5.584560584735229,100000
138,4.4154600721995365,100000
139,28.485473342270154,100000
140,0.0,100000
141,38.50207520421779,100000
142,4.014091741866281,100000
143,0.7511545662123211,100000
144,0.0,100000
145,0.0,100000
146,12.093336399400116,100000
147,0.0,100000
148,0.0,100000
149,0.0,100000
150,0.0,100000
151,0.0,100000
152,0.0,100000
153,0.0,100000
154,0.0,100000
155,0.0,100000
156,0.7543342714535015,100000
157,16.64687843141769,100000
158,5.252237201153392,100000
159,0.0,100000
160,3.3225676034074354,100000
161,3.4645558578033615,100000
162,13.59347864068424,100000
163,12.846115302629556,100000
164,14.39806189339852,100000
165,17.0369725960325,100000
166,1.2752688389699642,100000
167,14.309484985621054,100000
168,6.6989143141536545,100000
169,24.707663690376094,100000
170,0.0,100000
171,0.0,100000
172,19.471900186476788,100000
173,21.161114281942687,100000
174,0.0,100000
175,0.0,100000
176,30.674053580304218,100000
177,0.523448199152952,100000
178,15.455017957189114,100000
179,7.080791323844551,100000
180,0.0,100000
181,5.138923758022756,100000
182,0.0,100000
183,18.070459506959352,100000
184,19.82777033920432,100000
185,18.780100434423204,100000
186,22.962527111268656,100000
187,7.664702594927888,100000
188,7.98697564323993,100000
189,12.64012269423209,100000
190,0.0,100000
191,0.0,100000
192,20.914383469517233,100000
193,0.0,100000
194,0.0,100000
195,0.0,100000
196,11.532664514576297,100000
197,25.73618527526787,100000
198,9.163911590253008,100000
199,0.5995138317468189,100000
200,13.660113950274678,100000
201,14.332426106237307,100000
202,22.13479875788485,100000
203,4.538831587900717,100000
204,0.0,100000
205,23.21022388240945,100000
206,0.39158460532986794,100000
207,10.88599986091127,100000
208,17.559977304864518,100000
209,0.0,100000
210,3.225695445479971,100000
211,2.073537739189831,100000
212,0.2190277241482761,100000
213,10.675710180303184,100000
214,13.184661587976208,100000
215,0.0,100000
216,0.0,100000
217,19.209249477395204,100000
218,5.076044886307031,100000
219,0.0,100000
220,31.415202816105307,100000
221,15.835897976724056,100000
222,3.232430891333678,100000
223,6.203990969380712,100000
224,0.0,100000
225,6.727865978817022,100000
226,9.939290073661411,100000
227,27.21831071702927,100000
228,0.0,100000
229,24.28129130836456,100000
230,4.848094796416291,100000
231,9.378942324371522,100000
232,15.972086188096796,100000
233,0.0,100000
234,15.936294443802183,100000
235,0.0,100000
236,17.038144788297046,100000
237,1.215450358444997,100000
238,0.29565189883730625,100000
239,0.0,100000
240,0.0,100000
241,0.0,100000
242,0.0,100000
243,0.0,100000
244,0.0,100000
245,0.0,100000
246,20.916850906092748,100000
247,0.0,100000
248,0.0,100000
249,8.566648829604944,100000
250,0.0,100000
251,1.527337611658723,100000
252,0.0,100000
253,13.855428644073044,100000
254,0.0,100000
255,29.76165264764893,100000
256,17.324079939107705,100000
257,8.815762587644386,100000
258,1.1609095802786698,100000
259,11.624940003908534,100000
260,1.224453178897818,100000
261,6.6806520664279105,100000
262,6.271755240921408,100000
263,0.0,100000
264,15.015155176853568,100000
265,0.0,100000
266,11.544898624426693,100000
267,19.520590187467008,100000
268,0.0,100000
269,26.916440592347982,100000
270,0.0,100000
271,22.47078841747569,100000
272,0.0,100000
273,26.639929826131763,100000
274,9.702130269667435,100000
275,0.36386549649623134,100000
276,0.0,100000
277,0.0,100000
278,14.675149580199829,100000
279,0.0,100000
280,21.906423233675312,100000
281,25.21338873545767,100000
282,0.0,100000
283,12.166044925559731,100000
284,0.0,100000
285,0.0,100000
286,0.0,100000
287,16.423067722973528,100000
288,0.0,100000
289,0.0,100000
290,0.0,100000
291,2.0433340727791887,100000
292,0.0,100000
293,0.0,100000
294,5.496747332226988,100000
295,10.903871166782693,100000
296,6.016342406080653,100000
297,0.0,100000
298,1.3629395364855554,100000
299,6.027041082191218,100000
300,11.973109807155353,100000
301,18.250005083214234,100000
302,10.570799146374668,100000
303,0.0,100000
304,0.0,100000
305,0.0,100000
306,5.092082338981598,100000
307,0.0,100000
308,0.0,100000
309,24.861820905176614,100000
310,16.994076062389112,100000
311,0.0,100000
312,9.709941614586242,100000
313,0.3652514386811987,100000
314,0.0,100000
315,16.38100600530828,100000
316,10.030929996979424,100000
317,0.0,100000
318,4.7468065965964,100000
319,9.18740748224829,100000
320,0.0,100000
321,0.0,100000
322,12.53730954795391,100000
323,0.0,100000
324,0.0,100000
325,6.154415053167909,100000
326,0.0,100000
327,5.004419239324378,100000
328,2.1363638991046656,100000
329,0.0,100000
330,0.0,100000
331,9.602418904797048,100000
332,6.788746644560192,100000
333,0.0,100000
334,5.188035442335405,100000
335,0.0,100000
336,4.5607915106197225,100000
337,6.39406255576192,100000
338,0.0,100000
339,9.800148935896345,100000
340,6.327772388227103,100000
341,0.0,100000
342,21.109992410157716,100000
343,7.053883236742706,100000
344,0.0,100000
345,13.862350338769403,100000
346,0.0,100000
347,0.0,100000
348,10.562517655954565,100000
349,16.872745350556215,100000
350,4.631477998111862,100000
351,2.7927863571997307,100000
352,0.0,100000
353,15.154463134164288,100000
354,6.577348503645325,100000
355,13.999678992888093,100000
356,34.680052251451485,100000
357,0.6851424004754847,100000
358,0.0,100000
359,0.0,100000
360,0.0,100000
361,0.0,100000
362,3.6170779057828355,100000
363,0.0,100000
364,0.0,100000
365,7.92569337994577,100000
366,10.024673958418788,100000
367,11.420559201020652,100000
368,4.9031258249773515,100000
369,2.0076395338818145,100000
370,0.0,100000
371,4.086596581497176,100000
372,14.766786520568076,100000
373,15.156381386573756,100000
374,0.0,100000
375,0.0,100000
376,26.433395059956595,100000
377,18.723159322566005,100000
378,0.0,100000
379,11.41471864532437,100000
380,0.0,100000
381,0.7988174554217835,100000
382,13.199920272616026,100000
383,5.710716557463357,100000
384,4.6575716086494054,100000
385,0.0,100000
386,4.887947659723068,100000
387,1.2977789395713586,100000
388,4.5102548750926275,100000
389,17.200250731838267,100000
390,15.790244710620343,100000
391,3.842792286161341,100000
392,0.0,100000
393,7.127920012927476,100000
394,20.54722775548126,100000
395,10.194114857220299,100000
396,0.0,100000
