,Samples,0.000001+error,0.00001+error,0.0001+error,0.001+error,0.01+error,0.1+error
0,10000,"[-0.32554465700940227, -0.0022062813502299913]","[-0.3255446583416699, -0.0022062772668323878]","[-0.32554465825285206, -0.0022062775390588947]","[-0.3255446582501875, -0.00220627754722569]","[-0.32554465824876644, -0.002206277551581314]","[-0.324963562906726, -0.003987333605613963]"
1,100000,"[-0.325983689819509, -0.0008606466707058847]","[-0.32598368973069114, -0.0008606469429323915]","[-0.32598368966851865, -0.0008606471334909464]","[-0.3259714414038939, -0.000898188039919006]","[-0.3259148791191713, -0.0010715513287751848]","[-0.3252242573642672, -0.0031883056178381316]"
2,1000000,"[-0.32681253347988104, 0.0016797574804764755]","[-0.32681253392397025, 0.00167975884160901]","[-0.3268106192155784, 0.0016738902642409418]","[-0.3268029331806588, 0.001650332582678662]","[-0.3267250717642334, 0.0014116874980130553]","[-0.325916371869841, -0.0010669760509762493]"
3,10000000,"[-0.3262460985808957, -5.636434509309893e-05]","[-0.3262460509745324, -5.651025850080405e-05]","[-0.32624515974966073, -5.924186093911642e-05]","[-0.3262376452681792, -8.227373155876454e-05]","[-0.3261602574394118, -0.0003194672710056533]","[-0.3253616608517529, -0.002767164205187507]"
