,Samples,0.001,0.01,0.1
0,10000,"[-0.018206164837941685, -0.9441981414074448]","[-0.01820431988101001, -0.9442037961967279]","[-0.018185822669591345, -0.9442604901125047]"
1,100000,"[-0.018206164837941685, -0.9441981414074448]","[-0.01820431988100446, -0.9442037961967449]","[-0.018185822669590235, -0.9442604901125081]"
2,1000000,"[-0.018206164836442884, -0.9441981414120387]","[-0.018204319880921194, -0.9442037961970001]","[-0.01818582266958746, -0.9442604901125167]"
